[INFO] Device: cpu
[INFO] Channel mode: ch12 | input_channels=2
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=196, best_score=0.831370, best_epoch=136
[stage1_soc] epoch 196 | VAL cls=0.9471 | SOC MedAPE(raw)=6.564% | SOH MedAPE(raw)=17.904% | val_score=0.807222
[stage1_soc] epoch 197 | VAL cls=0.8882 | SOC MedAPE(raw)=7.349% | SOH MedAPE(raw)=17.258% | val_score=0.733326
[stage1_soc] epoch 198 | VAL cls=0.8843 | SOC MedAPE(raw)=7.455% | SOH MedAPE(raw)=17.398% | val_score=0.724701
[stage1_soc] epoch 199 | VAL cls=0.9196 | SOC MedAPE(raw)=6.837% | SOH MedAPE(raw)=17.519% | val_score=0.764790
[stage1_soc] Loaded BEST checkpoint from epoch=136 | score=0.8313695880834652
[stage2_soh] epoch 000 | VAL cls=0.9745 | SOC MedAPE(raw)=6.548% | SOH MedAPE(raw)=4.032% | val_score=-0.589408
[stage2_soh] epoch 001 | VAL cls=0.9745 | SOC MedAPE(raw)=6.505% | SOH MedAPE(raw)=3.468% | val_score=-0.572817
[stage2_soh] epoch 002 | VAL cls=0.9745 | SOC MedAPE(raw)=6.648% | SOH MedAPE(raw)=2.429% | val_score=-0.499243
[stage2_soh] epoch 003 | VAL cls=0.9745 | SOC MedAPE(raw)=6.596% | SOH MedAPE(raw)=2.716% | val_score=-0.520597
[stage2_soh] epoch 004 | VAL cls=0.9745 | SOC MedAPE(raw)=6.590% | SOH MedAPE(raw)=3.044% | val_score=-0.544524
[stage2_soh] epoch 005 | VAL cls=0.9745 | SOC MedAPE(raw)=6.410% | SOH MedAPE(raw)=2.811% | val_score=-0.550471
[stage2_soh] epoch 006 | VAL cls=0.9745 | SOC MedAPE(raw)=6.649% | SOH MedAPE(raw)=2.704% | val_score=-0.553324
[stage2_soh] epoch 007 | VAL cls=0.9745 | SOC MedAPE(raw)=6.241% | SOH MedAPE(raw)=2.424% | val_score=-0.525867
[stage2_soh] epoch 008 | VAL cls=0.9745 | SOC MedAPE(raw)=6.692% | SOH MedAPE(raw)=2.641% | val_score=-0.537275
[stage2_soh] epoch 009 | VAL cls=0.9745 | SOC MedAPE(raw)=6.579% | SOH MedAPE(raw)=2.335% | val_score=-0.516749
[stage2_soh] epoch 010 | VAL cls=0.9745 | SOC MedAPE(raw)=6.208% | SOH MedAPE(raw)=2.812% | val_score=-0.525697
[stage2_soh] epoch 011 | VAL cls=0.9745 | SOC MedAPE(raw)=6.550% | SOH MedAPE(raw)=2.472% | val_score=-0.520063
[stage2_soh] epoch 012 | VAL cls=0.9745 | SOC MedAPE(raw)=6.371% | SOH MedAPE(raw)=2.609% | val_score=-0.533735
[stage2_soh] epoch 013 | VAL cls=0.9745 | SOC MedAPE(raw)=6.274% | SOH MedAPE(raw)=2.607% | val_score=-0.550602
[stage2_soh] epoch 014 | VAL cls=0.9745 | SOC MedAPE(raw)=6.490% | SOH MedAPE(raw)=2.476% | val_score=-0.560573
[stage2_soh] epoch 015 | VAL cls=0.9745 | SOC MedAPE(raw)=6.385% | SOH MedAPE(raw)=2.472% | val_score=-0.533537
[stage2_soh] epoch 016 | VAL cls=0.9745 | SOC MedAPE(raw)=6.317% | SOH MedAPE(raw)=2.633% | val_score=-0.550937
[stage2_soh] epoch 017 | VAL cls=0.9745 | SOC MedAPE(raw)=6.319% | SOH MedAPE(raw)=2.760% | val_score=-0.547079
[stage2_soh] epoch 018 | VAL cls=0.9745 | SOC MedAPE(raw)=6.526% | SOH MedAPE(raw)=2.547% | val_score=-0.505646
[stage2_soh] epoch 019 | VAL cls=0.9745 | SOC MedAPE(raw)=6.642% | SOH MedAPE(raw)=2.496% | val_score=-0.527890
[stage2_soh] epoch 020 | VAL cls=0.9745 | SOC MedAPE(raw)=6.557% | SOH MedAPE(raw)=2.497% | val_score=-0.527768
[stage2_soh] epoch 021 | VAL cls=0.9745 | SOC MedAPE(raw)=6.572% | SOH MedAPE(raw)=2.391% | val_score=-0.521896
[stage2_soh] epoch 022 | VAL cls=0.9745 | SOC MedAPE(raw)=6.750% | SOH MedAPE(raw)=2.506% | val_score=-0.539855
[stage2_soh] epoch 023 | VAL cls=0.9745 | SOC MedAPE(raw)=6.228% | SOH MedAPE(raw)=2.615% | val_score=-0.517554
[stage2_soh] epoch 024 | VAL cls=0.9745 | SOC MedAPE(raw)=6.570% | SOH MedAPE(raw)=2.414% | val_score=-0.526321
[stage2_soh] epoch 025 | VAL cls=0.9745 | SOC MedAPE(raw)=6.297% | SOH MedAPE(raw)=2.622% | val_score=-0.518956
[stage2_soh] epoch 026 | VAL cls=0.9745 | SOC MedAPE(raw)=6.554% | SOH MedAPE(raw)=2.648% | val_score=-0.524849
[stage2_soh] epoch 027 | VAL cls=0.9745 | SOC MedAPE(raw)=6.675% | SOH MedAPE(raw)=2.357% | val_score=-0.517347
[stage2_soh] epoch 028 | VAL cls=0.9745 | SOC MedAPE(raw)=6.565% | SOH MedAPE(raw)=2.280% | val_score=-0.499886
[stage2_soh] epoch 029 | VAL cls=0.9745 | SOC MedAPE(raw)=6.284% | SOH MedAPE(raw)=2.784% | val_score=-0.542458
[stage2_soh] epoch 030 | VAL cls=0.9745 | SOC MedAPE(raw)=6.493% | SOH MedAPE(raw)=2.567% | val_score=-0.515822
[stage2_soh] epoch 031 | VAL cls=0.9745 | SOC MedAPE(raw)=6.584% | SOH MedAPE(raw)=2.640% | val_score=-0.532425
[stage2_soh] epoch 032 | VAL cls=0.9745 | SOC MedAPE(raw)=6.618% | SOH MedAPE(raw)=2.346% | val_score=-0.503018
[stage2_soh] epoch 033 | VAL cls=0.9745 | SOC MedAPE(raw)=6.386% | SOH MedAPE(raw)=2.550% | val_score=-0.509613
[stage2_soh] epoch 034 | VAL cls=0.9745 | SOC MedAPE(raw)=6.591% | SOH MedAPE(raw)=2.779% | val_score=-0.553989
[stage2_soh] epoch 035 | VAL cls=0.9745 | SOC MedAPE(raw)=6.398% | SOH MedAPE(raw)=2.667% | val_score=-0.537206
[stage2_soh] epoch 036 | VAL cls=0.9745 | SOC MedAPE(raw)=6.577% | SOH MedAPE(raw)=2.410% | val_score=-0.509023
[stage2_soh] epoch 037 | VAL cls=0.9745 | SOC MedAPE(raw)=6.638% | SOH MedAPE(raw)=2.607% | val_score=-0.534442
[stage2_soh] epoch 038 | VAL cls=0.9745 | SOC MedAPE(raw)=6.358% | SOH MedAPE(raw)=2.284% | val_score=-0.491702
[stage2_soh] epoch 039 | VAL cls=0.9745 | SOC MedAPE(raw)=6.424% | SOH MedAPE(raw)=2.433% | val_score=-0.514531
[stage2_soh] epoch 040 | VAL cls=0.9745 | SOC MedAPE(raw)=6.227% | SOH MedAPE(raw)=2.348% | val_score=-0.510681
[stage2_soh] epoch 041 | VAL cls=0.9745 | SOC MedAPE(raw)=6.315% | SOH MedAPE(raw)=2.871% | val_score=-0.515727
[stage2_soh] epoch 042 | VAL cls=0.9745 | SOC MedAPE(raw)=6.894% | SOH MedAPE(raw)=2.299% | val_score=-0.520213
[stage2_soh] epoch 043 | VAL cls=0.9745 | SOC MedAPE(raw)=6.521% | SOH MedAPE(raw)=2.474% | val_score=-0.517086
[stage2_soh] epoch 044 | VAL cls=0.9745 | SOC MedAPE(raw)=6.599% | SOH MedAPE(raw)=2.377% | val_score=-0.529041
[stage2_soh] epoch 045 | VAL cls=0.9745 | SOC MedAPE(raw)=6.448% | SOH MedAPE(raw)=2.474% | val_score=-0.554741
[stage2_soh] epoch 046 | VAL cls=0.9745 | SOC MedAPE(raw)=6.732% | SOH MedAPE(raw)=2.356% | val_score=-0.502459
[stage2_soh] epoch 047 | VAL cls=0.9745 | SOC MedAPE(raw)=6.283% | SOH MedAPE(raw)=2.230% | val_score=-0.523665
[stage2_soh] epoch 048 | VAL cls=0.9745 | SOC MedAPE(raw)=6.891% | SOH MedAPE(raw)=2.636% | val_score=-0.536030
[stage2_soh] epoch 049 | VAL cls=0.9745 | SOC MedAPE(raw)=6.620% | SOH MedAPE(raw)=2.198% | val_score=-0.509817
[stage2_soh] epoch 050 | VAL cls=0.9745 | SOC MedAPE(raw)=6.471% | SOH MedAPE(raw)=2.597% | val_score=-0.548110
[stage2_soh] epoch 051 | VAL cls=0.9745 | SOC MedAPE(raw)=6.413% | SOH MedAPE(raw)=2.357% | val_score=-0.512385
[stage2_soh] epoch 052 | VAL cls=0.9745 | SOC MedAPE(raw)=6.458% | SOH MedAPE(raw)=2.572% | val_score=-0.536865
[stage2_soh] epoch 053 | VAL cls=0.9745 | SOC MedAPE(raw)=6.244% | SOH MedAPE(raw)=2.573% | val_score=-0.505442
[stage2_soh] epoch 054 | VAL cls=0.9745 | SOC MedAPE(raw)=6.434% | SOH MedAPE(raw)=2.371% | val_score=-0.493734
[stage2_soh] epoch 055 | VAL cls=0.9745 | SOC MedAPE(raw)=6.438% | SOH MedAPE(raw)=2.634% | val_score=-0.513893
[stage2_soh] epoch 056 | VAL cls=0.9745 | SOC MedAPE(raw)=6.773% | SOH MedAPE(raw)=2.572% | val_score=-0.501197
[stage2_soh] epoch 057 | VAL cls=0.9745 | SOC MedAPE(raw)=6.506% | SOH MedAPE(raw)=2.474% | val_score=-0.544818
[stage2_soh] epoch 058 | VAL cls=0.9745 | SOC MedAPE(raw)=6.484% | SOH MedAPE(raw)=2.362% | val_score=-0.503975
[stage2_soh] epoch 059 | VAL cls=0.9745 | SOC MedAPE(raw)=6.298% | SOH MedAPE(raw)=2.424% | val_score=-0.509474
[stage2_soh] epoch 060 | VAL cls=0.9745 | SOC MedAPE(raw)=6.533% | SOH MedAPE(raw)=2.495% | val_score=-0.533826
[stage2_soh] epoch 061 | VAL cls=0.9745 | SOC MedAPE(raw)=6.635% | SOH MedAPE(raw)=2.782% | val_score=-0.538734
[stage2_soh] epoch 062 | VAL cls=0.9745 | SOC MedAPE(raw)=6.301% | SOH MedAPE(raw)=2.437% | val_score=-0.502560
[stage2_soh] epoch 063 | VAL cls=0.9745 | SOC MedAPE(raw)=6.958% | SOH MedAPE(raw)=2.500% | val_score=-0.507545
[stage2_soh] epoch 064 | VAL cls=0.9745 | SOC MedAPE(raw)=6.755% | SOH MedAPE(raw)=2.722% | val_score=-0.572453
[stage2_soh] epoch 065 | VAL cls=0.9745 | SOC MedAPE(raw)=6.786% | SOH MedAPE(raw)=2.438% | val_score=-0.543321
