nohup: ignoring input
[CONFIG] orders = ['SOC_M_SOH']
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] TRAIN samples = 68162 | IDs = 461
[DATA] VAL   samples = 510 | IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] TEST  samples = 1280 | IDs = 128
[DEVICE] cpu

==========================================================================================
[RUN] Hierarchy order: SOC_M_SOH
[RUN] Meaning: SOC -> Material -> SOH
[RUN] Output directory: /scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/hierarchy_order_ablation/SOC_M_SOH
==========================================================================================
[SOC_M_SOH] epoch 000 | VAL cls=0.5412 | SOC MedAPE=18.540% | SOH MedAPE=9.578% | val_score=0.164210
[SOC_M_SOH] epoch 001 | VAL cls=0.5706 | SOC MedAPE=18.760% | SOH MedAPE=8.264% | val_score=0.217701
[SOC_M_SOH] epoch 002 | VAL cls=0.5922 | SOC MedAPE=13.534% | SOH MedAPE=8.158% | val_score=0.293663
[SOC_M_SOH] epoch 003 | VAL cls=0.7549 | SOC MedAPE=13.108% | SOH MedAPE=7.351% | val_score=0.476797
[SOC_M_SOH] epoch 004 | VAL cls=0.7706 | SOC MedAPE=13.412% | SOH MedAPE=6.282% | val_score=0.510820
[SOC_M_SOH] epoch 005 | VAL cls=0.5863 | SOC MedAPE=17.889% | SOH MedAPE=8.545% | val_score=0.236490
[SOC_M_SOH] epoch 006 | VAL cls=0.8039 | SOC MedAPE=12.854% | SOH MedAPE=6.647% | val_score=0.542441
[SOC_M_SOH] epoch 007 | VAL cls=0.7686 | SOC MedAPE=12.849% | SOH MedAPE=5.498% | val_score=0.530168
[SOC_M_SOH] epoch 008 | VAL cls=0.8392 | SOC MedAPE=12.036% | SOH MedAPE=6.166% | val_score=0.595539
[SOC_M_SOH] epoch 009 | VAL cls=0.8000 | SOC MedAPE=12.995% | SOH MedAPE=7.066% | val_score=0.528734
[SOC_M_SOH] epoch 010 | VAL cls=0.8216 | SOC MedAPE=12.886% | SOH MedAPE=5.835% | val_score=0.575998
[SOC_M_SOH] epoch 011 | VAL cls=0.7471 | SOC MedAPE=13.783% | SOH MedAPE=5.745% | val_score=0.494319
[SOC_M_SOH] epoch 012 | VAL cls=0.8176 | SOC MedAPE=10.436% | SOH MedAPE=5.674% | val_score=0.599797
[SOC_M_SOH] epoch 013 | VAL cls=0.8098 | SOC MedAPE=14.666% | SOH MedAPE=6.074% | val_score=0.541657
[SOC_M_SOH] epoch 014 | VAL cls=0.6647 | SOC MedAPE=13.004% | SOH MedAPE=6.124% | val_score=0.412181
[SOC_M_SOH] epoch 015 | VAL cls=0.8235 | SOC MedAPE=10.741% | SOH MedAPE=5.067% | val_score=0.614776
[SOC_M_SOH] epoch 016 | VAL cls=0.8020 | SOC MedAPE=10.052% | SOH MedAPE=5.129% | val_score=0.598861
[SOC_M_SOH] epoch 017 | VAL cls=0.9078 | SOC MedAPE=10.825% | SOH MedAPE=5.518% | val_score=0.689238
[SOC_M_SOH] epoch 018 | VAL cls=0.7608 | SOC MedAPE=11.189% | SOH MedAPE=5.984% | val_score=0.529208
[SOC_M_SOH] epoch 019 | VAL cls=0.8235 | SOC MedAPE=12.376% | SOH MedAPE=4.519% | val_score=0.609390
[SOC_M_SOH] epoch 020 | VAL cls=0.8471 | SOC MedAPE=10.911% | SOH MedAPE=4.772% | val_score=0.642507
[SOC_M_SOH] epoch 021 | VAL cls=0.8255 | SOC MedAPE=12.408% | SOH MedAPE=5.511% | val_score=0.591190
[SOC_M_SOH] epoch 022 | VAL cls=0.7216 | SOC MedAPE=11.552% | SOH MedAPE=6.439% | val_score=0.477268
[SOC_M_SOH] epoch 023 | VAL cls=0.8314 | SOC MedAPE=10.562% | SOH MedAPE=4.628% | val_score=0.633184
[SOC_M_SOH] epoch 024 | VAL cls=0.8627 | SOC MedAPE=9.160% | SOH MedAPE=4.363% | val_score=0.683889
[SOC_M_SOH] epoch 025 | VAL cls=0.8588 | SOC MedAPE=11.597% | SOH MedAPE=4.713% | val_score=0.648595
[SOC_M_SOH] epoch 026 | VAL cls=0.8373 | SOC MedAPE=10.166% | SOH MedAPE=4.350% | val_score=0.648600
[SOC_M_SOH] epoch 027 | VAL cls=0.8686 | SOC MedAPE=10.610% | SOH MedAPE=4.873% | val_score=0.665074
[SOC_M_SOH] epoch 028 | VAL cls=0.8804 | SOC MedAPE=9.577% | SOH MedAPE=3.764% | val_score=0.709338
[SOC_M_SOH] epoch 029 | VAL cls=0.8431 | SOC MedAPE=9.534% | SOH MedAPE=4.595% | val_score=0.655911
[SOC_M_SOH] epoch 030 | VAL cls=0.8647 | SOC MedAPE=7.866% | SOH MedAPE=4.023% | val_score=0.705590
[SOC_M_SOH] epoch 031 | VAL cls=0.7706 | SOC MedAPE=10.831% | SOH MedAPE=4.948% | val_score=0.563316
[SOC_M_SOH] epoch 032 | VAL cls=0.8725 | SOC MedAPE=8.870% | SOH MedAPE=4.284% | val_score=0.698172
[SOC_M_SOH] epoch 033 | VAL cls=0.8765 | SOC MedAPE=7.947% | SOH MedAPE=4.273% | val_score=0.711543
[SOC_M_SOH] epoch 034 | VAL cls=0.8608 | SOC MedAPE=10.111% | SOH MedAPE=4.266% | val_score=0.674354
[SOC_M_SOH] epoch 035 | VAL cls=0.8922 | SOC MedAPE=10.359% | SOH MedAPE=4.332% | val_score=0.701930
[SOC_M_SOH] epoch 036 | VAL cls=0.8686 | SOC MedAPE=8.753% | SOH MedAPE=4.341% | val_score=0.694275
[SOC_M_SOH] epoch 037 | VAL cls=0.8412 | SOC MedAPE=8.470% | SOH MedAPE=4.610% | val_score=0.664286
[SOC_M_SOH] epoch 038 | VAL cls=0.8490 | SOC MedAPE=8.112% | SOH MedAPE=4.352% | val_score=0.680859
[SOC_M_SOH] epoch 039 | VAL cls=0.9039 | SOC MedAPE=8.476% | SOH MedAPE=4.110% | val_score=0.736963
[SOC_M_SOH] epoch 040 | VAL cls=0.8961 | SOC MedAPE=9.575% | SOH MedAPE=4.236% | val_score=0.715615
[SOC_M_SOH] epoch 041 | VAL cls=0.8333 | SOC MedAPE=9.449% | SOH MedAPE=4.266% | val_score=0.653516
[SOC_M_SOH] epoch 042 | VAL cls=0.8157 | SOC MedAPE=8.521% | SOH MedAPE=4.796% | val_score=0.634555
[SOC_M_SOH] epoch 043 | VAL cls=0.8706 | SOC MedAPE=8.552% | SOH MedAPE=4.312% | val_score=0.698825
[SOC_M_SOH] epoch 044 | VAL cls=0.8706 | SOC MedAPE=8.564% | SOH MedAPE=4.285% | val_score=0.699245
[SOC_M_SOH] epoch 045 | VAL cls=0.8490 | SOC MedAPE=8.976% | SOH MedAPE=4.438% | val_score=0.670495
