nohup: ignoring input

==========================================================================================
[RUN] Hierarchy ablation: soc_to_soh
[RUN] Meaning: Partial hierarchy: z->M, z->SOC, z+SOC->SOH
[RUN] Pulse list: [30, 50, 70, 100, 300, 500, 700, 1000, 3000, 5000]
[RUN] Output directory: /scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/hierarchy_ablation/soc_to_soh
==========================================================================================
[INFO] Device: cpu
[INFO] Structure mode: soc_to_soh
[INFO] Meaning: Partial hierarchy: z->M, z->SOC, z+SOC->SOH
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=200, best_score=0.830146, best_epoch=189
[soc_to_soh | stage1_soc] Loaded BEST checkpoint from epoch=189 | score=0.8301455025321717
[RESUME-stage2_soh] start_epoch=26, best_score=-0.430162, best_epoch=16
[soc_to_soh | stage2_soh] epoch 026 | VAL cls=0.9745 | SOC MedAPE(raw)=6.786% | SOH MedAPE(raw)=3.000% | score=-0.469294
[soc_to_soh | stage2_soh] epoch 027 | VAL cls=0.9745 | SOC MedAPE(raw)=6.691% | SOH MedAPE(raw)=3.091% | score=-0.472347
[soc_to_soh | stage2_soh] epoch 028 | VAL cls=0.9745 | SOC MedAPE(raw)=6.672% | SOH MedAPE(raw)=3.206% | score=-0.481229
[soc_to_soh | stage2_soh] epoch 029 | VAL cls=0.9745 | SOC MedAPE(raw)=6.692% | SOH MedAPE(raw)=3.210% | score=-0.424298
[soc_to_soh | stage2_soh] epoch 030 | VAL cls=0.9745 | SOC MedAPE(raw)=6.977% | SOH MedAPE(raw)=2.995% | score=-0.475529
[soc_to_soh | stage2_soh] epoch 031 | VAL cls=0.9745 | SOC MedAPE(raw)=6.759% | SOH MedAPE(raw)=2.899% | score=-0.479174
[soc_to_soh | stage2_soh] epoch 032 | VAL cls=0.9745 | SOC MedAPE(raw)=6.396% | SOH MedAPE(raw)=3.027% | score=-0.460053
[soc_to_soh | stage2_soh] epoch 033 | VAL cls=0.9745 | SOC MedAPE(raw)=6.381% | SOH MedAPE(raw)=3.318% | score=-0.442261
[soc_to_soh | stage2_soh] epoch 034 | VAL cls=0.9745 | SOC MedAPE(raw)=6.525% | SOH MedAPE(raw)=2.860% | score=-0.475252
[soc_to_soh | stage2_soh] epoch 035 | VAL cls=0.9745 | SOC MedAPE(raw)=6.811% | SOH MedAPE(raw)=2.776% | score=-0.460042
[soc_to_soh | stage2_soh] epoch 036 | VAL cls=0.9745 | SOC MedAPE(raw)=6.523% | SOH MedAPE(raw)=2.899% | score=-0.495030
[soc_to_soh | stage2_soh] epoch 037 | VAL cls=0.9745 | SOC MedAPE(raw)=6.578% | SOH MedAPE(raw)=3.067% | score=-0.474298
[soc_to_soh | stage2_soh] epoch 038 | VAL cls=0.9745 | SOC MedAPE(raw)=6.561% | SOH MedAPE(raw)=2.768% | score=-0.414515
[soc_to_soh | stage2_soh] epoch 039 | VAL cls=0.9745 | SOC MedAPE(raw)=6.580% | SOH MedAPE(raw)=2.825% | score=-0.466753
[soc_to_soh | stage2_soh] epoch 040 | VAL cls=0.9745 | SOC MedAPE(raw)=6.549% | SOH MedAPE(raw)=3.152% | score=-0.473968
[soc_to_soh | stage2_soh] epoch 041 | VAL cls=0.9745 | SOC MedAPE(raw)=6.725% | SOH MedAPE(raw)=2.844% | score=-0.429146
[soc_to_soh | stage2_soh] epoch 042 | VAL cls=0.9745 | SOC MedAPE(raw)=6.764% | SOH MedAPE(raw)=2.692% | score=-0.438178
[soc_to_soh | stage2_soh] epoch 043 | VAL cls=0.9745 | SOC MedAPE(raw)=6.608% | SOH MedAPE(raw)=3.025% | score=-0.448875
[soc_to_soh | stage2_soh] epoch 044 | VAL cls=0.9745 | SOC MedAPE(raw)=6.286% | SOH MedAPE(raw)=2.696% | score=-0.435422
[soc_to_soh | stage2_soh] epoch 045 | VAL cls=0.9745 | SOC MedAPE(raw)=6.670% | SOH MedAPE(raw)=2.842% | score=-0.477069
[soc_to_soh | stage2_soh] epoch 046 | VAL cls=0.9745 | SOC MedAPE(raw)=6.534% | SOH MedAPE(raw)=2.870% | score=-0.438193
[soc_to_soh | stage2_soh] epoch 047 | VAL cls=0.9745 | SOC MedAPE(raw)=6.811% | SOH MedAPE(raw)=2.853% | score=-0.510927
[soc_to_soh | stage2_soh] epoch 048 | VAL cls=0.9745 | SOC MedAPE(raw)=6.447% | SOH MedAPE(raw)=2.678% | score=-0.447130
[soc_to_soh | stage2_soh] epoch 049 | VAL cls=0.9745 | SOC MedAPE(raw)=6.782% | SOH MedAPE(raw)=2.840% | score=-0.484674
[soc_to_soh | stage2_soh] epoch 050 | VAL cls=0.9745 | SOC MedAPE(raw)=6.783% | SOH MedAPE(raw)=2.854% | score=-0.432619
[soc_to_soh | stage2_soh] epoch 051 | VAL cls=0.9745 | SOC MedAPE(raw)=6.427% | SOH MedAPE(raw)=2.849% | score=-0.453261
[soc_to_soh | stage2_soh] epoch 052 | VAL cls=0.9745 | SOC MedAPE(raw)=6.557% | SOH MedAPE(raw)=2.922% | score=-0.525211
[soc_to_soh | stage2_soh] epoch 053 | VAL cls=0.9745 | SOC MedAPE(raw)=6.362% | SOH MedAPE(raw)=2.766% | score=-0.491129
[soc_to_soh | stage2_soh] epoch 054 | VAL cls=0.9745 | SOC MedAPE(raw)=6.280% | SOH MedAPE(raw)=3.118% | score=-0.476033
[soc_to_soh | stage2_soh] epoch 055 | VAL cls=0.9745 | SOC MedAPE(raw)=6.685% | SOH MedAPE(raw)=3.015% | score=-0.491166
[soc_to_soh | stage2_soh] epoch 056 | VAL cls=0.9745 | SOC MedAPE(raw)=6.418% | SOH MedAPE(raw)=2.806% | score=-0.458322
[soc_to_soh | stage2_soh] epoch 057 | VAL cls=0.9745 | SOC MedAPE(raw)=6.619% | SOH MedAPE(raw)=2.719% | score=-0.452083
[soc_to_soh | stage2_soh] epoch 058 | VAL cls=0.9745 | SOC MedAPE(raw)=6.515% | SOH MedAPE(raw)=3.077% | score=-0.461381
[soc_to_soh | stage2_soh] epoch 059 | VAL cls=0.9745 | SOC MedAPE(raw)=6.305% | SOH MedAPE(raw)=2.737% | score=-0.517533
[soc_to_soh | stage2_soh] epoch 060 | VAL cls=0.9745 | SOC MedAPE(raw)=6.455% | SOH MedAPE(raw)=2.932% | score=-0.499357
[soc_to_soh | stage2_soh] epoch 061 | VAL cls=0.9745 | SOC MedAPE(raw)=6.740% | SOH MedAPE(raw)=3.042% | score=-0.473058
[soc_to_soh | stage2_soh] epoch 062 | VAL cls=0.9745 | SOC MedAPE(raw)=6.522% | SOH MedAPE(raw)=2.957% | score=-0.464861
[soc_to_soh | stage2_soh] epoch 063 | VAL cls=0.9745 | SOC MedAPE(raw)=6.833% | SOH MedAPE(raw)=2.800% | score=-0.453816
[soc_to_soh | stage2_soh] epoch 064 | VAL cls=0.9745 | SOC MedAPE(raw)=6.670% | SOH MedAPE(raw)=3.179% | score=-0.488350
[soc_to_soh | stage2_soh] epoch 065 | VAL cls=0.9745 | SOC MedAPE(raw)=6.488% | SOH MedAPE(raw)=2.847% | score=-0.482909
[soc_to_soh | stage2_soh] epoch 066 | VAL cls=0.9745 | SOC MedAPE(raw)=6.540% | SOH MedAPE(raw)=2.759% | score=-0.507582
[soc_to_soh | stage2_soh] epoch 067 | VAL cls=0.9745 | SOC MedAPE(raw)=6.452% | SOH MedAPE(raw)=2.954% | score=-0.456305
[soc_to_soh | stage2_soh] epoch 068 | VAL cls=0.9745 | SOC MedAPE(raw)=6.762% | SOH MedAPE(raw)=2.720% | score=-0.479149
[soc_to_soh | stage2_soh] epoch 069 | VAL cls=0.9745 | SOC MedAPE(raw)=6.495% | SOH MedAPE(raw)=2.864% | score=-0.476122
[soc_to_soh | stage2_soh] epoch 070 | VAL cls=0.9745 | SOC MedAPE(raw)=6.409% | SOH MedAPE(raw)=2.803% | score=-0.463182
[soc_to_soh | stage2_soh] epoch 071 | VAL cls=0.9745 | SOC MedAPE(raw)=6.954% | SOH MedAPE(raw)=2.678% | score=-0.442802
[soc_to_soh | stage2_soh] epoch 072 | VAL cls=0.9745 | SOC MedAPE(raw)=6.793% | SOH MedAPE(raw)=2.687% | score=-0.503904
[soc_to_soh | stage2_soh] epoch 073 | VAL cls=0.9745 | SOC MedAPE(raw)=7.036% | SOH MedAPE(raw)=2.781% | score=-0.439209
[soc_to_soh | stage2_soh] epoch 074 | VAL cls=0.9745 | SOC MedAPE(raw)=6.515% | SOH MedAPE(raw)=2.857% | score=-0.465626
[soc_to_soh | stage2_soh] epoch 075 | VAL cls=0.9745 | SOC MedAPE(raw)=6.561% | SOH MedAPE(raw)=2.764% | score=-0.512698
[soc_to_soh | stage2_soh] epoch 076 | VAL cls=0.9745 | SOC MedAPE(raw)=6.734% | SOH MedAPE(raw)=2.809% | score=-0.487920
[soc_to_soh | stage2_soh] epoch 077 | VAL cls=0.9745 | SOC MedAPE(raw)=6.336% | SOH MedAPE(raw)=3.102% | score=-0.507731
[soc_to_soh | stage2_soh] epoch 078 | VAL cls=0.9745 | SOC MedAPE(raw)=6.656% | SOH MedAPE(raw)=2.608% | score=-0.451903
[soc_to_soh | stage2_soh] epoch 079 | VAL cls=0.9745 | SOC MedAPE(raw)=6.360% | SOH MedAPE(raw)=2.567% | score=-0.463205
[soc_to_soh | stage2_soh] epoch 080 | VAL cls=0.9745 | SOC MedAPE(raw)=6.539% | SOH MedAPE(raw)=2.786% | score=-0.480661
[soc_to_soh | stage2_soh] epoch 081 | VAL cls=0.9745 | SOC MedAPE(raw)=6.443% | SOH MedAPE(raw)=2.501% | score=-0.442679
