nohup: ignoring input

==========================================================================================
[RUN] Input representation: raw_1d
[RUN] Pulse list: [30, 50, 70, 100, 300, 500, 700, 1000, 3000, 5000]
[RUN] Output directory: /scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/input_representation/raw_1d
==========================================================================================
[INFO] Device: cpu
[INFO] Input representation: raw_1d
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=186, best_score=0.845393, best_epoch=83
[stage1_soc] epoch 186 | VAL cls=0.9373 | SOC MedAPE(raw)=6.880% | SOH MedAPE(raw)=12.455% | val_score=0.792161
[stage1_soc] epoch 187 | VAL cls=0.9529 | SOC MedAPE(raw)=7.415% | SOH MedAPE(raw)=12.453% | val_score=0.800143
[stage1_soc] epoch 188 | VAL cls=0.9549 | SOC MedAPE(raw)=7.401% | SOH MedAPE(raw)=12.670% | val_score=0.805467
[stage1_soc] epoch 189 | VAL cls=0.9647 | SOC MedAPE(raw)=6.747% | SOH MedAPE(raw)=12.647% | val_score=0.815767
[stage1_soc] epoch 190 | VAL cls=0.9235 | SOC MedAPE(raw)=7.407% | SOH MedAPE(raw)=12.705% | val_score=0.771732
[stage1_soc] epoch 191 | VAL cls=0.9627 | SOC MedAPE(raw)=7.420% | SOH MedAPE(raw)=12.102% | val_score=0.793393
[stage1_soc] epoch 192 | VAL cls=0.9373 | SOC MedAPE(raw)=6.928% | SOH MedAPE(raw)=12.750% | val_score=0.788512
[stage1_soc] epoch 193 | VAL cls=0.9392 | SOC MedAPE(raw)=7.726% | SOH MedAPE(raw)=12.147% | val_score=0.775168
[stage1_soc] epoch 194 | VAL cls=0.9157 | SOC MedAPE(raw)=8.326% | SOH MedAPE(raw)=11.858% | val_score=0.752653
[stage1_soc] epoch 195 | VAL cls=0.9588 | SOC MedAPE(raw)=7.423% | SOH MedAPE(raw)=12.087% | val_score=0.809917
[stage1_soc] epoch 196 | VAL cls=0.9451 | SOC MedAPE(raw)=7.227% | SOH MedAPE(raw)=11.999% | val_score=0.791143
[stage1_soc] epoch 197 | VAL cls=0.9078 | SOC MedAPE(raw)=9.080% | SOH MedAPE(raw)=12.117% | val_score=0.725728
[stage1_soc] epoch 198 | VAL cls=0.9412 | SOC MedAPE(raw)=7.356% | SOH MedAPE(raw)=11.969% | val_score=0.785373
[stage1_soc] epoch 199 | VAL cls=0.9588 | SOC MedAPE(raw)=6.712% | SOH MedAPE(raw)=12.235% | val_score=0.811416
[stage1_soc] Loaded BEST checkpoint from epoch=83 | score=0.8453926473613833
[stage2_soh] epoch 000 | VAL cls=0.9843 | SOC MedAPE(raw)=7.985% | SOH MedAPE(raw)=4.151% | val_score=-0.577668
[stage2_soh] epoch 001 | VAL cls=0.9863 | SOC MedAPE(raw)=7.992% | SOH MedAPE(raw)=2.889% | val_score=-0.598558
