nohup: ignoring input
[CONFIG] orders = ['SOH_M_SOC']
[CACHE] Train tag: raw_train_c292c3d99a | hit=False
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=False
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] TRAIN samples = 68162 | IDs = 461
[DATA] VAL   samples = 510 | IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] TEST  samples = 1280 | IDs = 128
[DEVICE] cpu

==========================================================================================
[RUN] Hierarchy order: SOH_M_SOC
[RUN] Meaning: SOH -> Material -> SOC
[RUN] Output directory: /scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/hierarchy_order_ablation/SOH_M_SOC
==========================================================================================
[SOH_M_SOC] epoch 000 | VAL cls=0.5922 | SOC MedAPE=21.043% | SOH MedAPE=9.934% | val_score=0.183046
[SOH_M_SOC] epoch 001 | VAL cls=0.6333 | SOC MedAPE=16.673% | SOH MedAPE=8.843% | val_score=0.289754
[SOH_M_SOC] epoch 002 | VAL cls=0.7255 | SOC MedAPE=13.508% | SOH MedAPE=7.716% | val_score=0.436093
[SOH_M_SOC] epoch 003 | VAL cls=0.7667 | SOC MedAPE=13.333% | SOH MedAPE=7.816% | val_score=0.477018
[SOH_M_SOC] epoch 004 | VAL cls=0.7471 | SOC MedAPE=12.949% | SOH MedAPE=7.992% | val_score=0.457718
[SOH_M_SOC] epoch 005 | VAL cls=0.7431 | SOC MedAPE=13.022% | SOH MedAPE=8.230% | val_score=0.448320
[SOH_M_SOC] epoch 006 | VAL cls=0.7706 | SOC MedAPE=13.390% | SOH MedAPE=6.839% | val_score=0.499908
[SOH_M_SOC] epoch 007 | VAL cls=0.7588 | SOC MedAPE=13.197% | SOH MedAPE=7.294% | val_score=0.480975
[SOH_M_SOC] epoch 008 | VAL cls=0.7843 | SOC MedAPE=12.305% | SOH MedAPE=6.524% | val_score=0.530789
[SOH_M_SOC] epoch 009 | VAL cls=0.7412 | SOC MedAPE=11.873% | SOH MedAPE=7.080% | val_score=0.480850
[SOH_M_SOC] epoch 010 | VAL cls=0.8314 | SOC MedAPE=11.575% | SOH MedAPE=6.738% | val_score=0.580857
[SOH_M_SOC] epoch 011 | VAL cls=0.7882 | SOC MedAPE=10.503% | SOH MedAPE=6.380% | val_score=0.555618
[SOH_M_SOC] epoch 012 | VAL cls=0.7863 | SOC MedAPE=9.909% | SOH MedAPE=6.650% | val_score=0.554190
[SOH_M_SOC] epoch 013 | VAL cls=0.8490 | SOC MedAPE=10.479% | SOH MedAPE=5.904% | val_score=0.626147
[SOH_M_SOC] epoch 014 | VAL cls=0.7216 | SOC MedAPE=14.467% | SOH MedAPE=7.113% | val_score=0.434644
[SOH_M_SOC] epoch 015 | VAL cls=0.8549 | SOC MedAPE=10.240% | SOH MedAPE=5.621% | val_score=0.640079
[SOH_M_SOC] epoch 016 | VAL cls=0.7902 | SOC MedAPE=10.603% | SOH MedAPE=6.912% | val_score=0.545922
[SOH_M_SOC] epoch 017 | VAL cls=0.8471 | SOC MedAPE=13.213% | SOH MedAPE=5.479% | val_score=0.605357
[SOH_M_SOC] epoch 018 | VAL cls=0.8490 | SOC MedAPE=11.604% | SOH MedAPE=5.663% | val_score=0.619722
[SOH_M_SOC] epoch 019 | VAL cls=0.8647 | SOC MedAPE=9.519% | SOH MedAPE=5.279% | val_score=0.663927
[SOH_M_SOC] epoch 020 | VAL cls=0.8490 | SOC MedAPE=11.924% | SOH MedAPE=5.287% | val_score=0.624040
[SOH_M_SOC] epoch 021 | VAL cls=0.8157 | SOC MedAPE=8.529% | SOH MedAPE=6.307% | val_score=0.604248
[SOH_M_SOC] epoch 022 | VAL cls=0.8608 | SOC MedAPE=9.044% | SOH MedAPE=4.512% | val_score=0.680117
[SOH_M_SOC] epoch 023 | VAL cls=0.8882 | SOC MedAPE=9.357% | SOH MedAPE=4.447% | val_score=0.705731
[SOH_M_SOC] epoch 024 | VAL cls=0.9020 | SOC MedAPE=9.646% | SOH MedAPE=4.463% | val_score=0.716246
[SOH_M_SOC] epoch 025 | VAL cls=0.8804 | SOC MedAPE=9.240% | SOH MedAPE=5.525% | val_score=0.677495
[SOH_M_SOC] epoch 026 | VAL cls=0.8725 | SOC MedAPE=10.355% | SOH MedAPE=5.740% | val_score=0.654199
[SOH_M_SOC] epoch 027 | VAL cls=0.8471 | SOC MedAPE=10.283% | SOH MedAPE=5.869% | val_score=0.626862
[SOH_M_SOC] epoch 028 | VAL cls=0.8529 | SOC MedAPE=9.026% | SOH MedAPE=4.882% | val_score=0.665045
[SOH_M_SOC] epoch 029 | VAL cls=0.8686 | SOC MedAPE=10.932% | SOH MedAPE=5.058% | val_score=0.658145
[SOH_M_SOC] epoch 030 | VAL cls=0.8608 | SOC MedAPE=11.936% | SOH MedAPE=4.859% | val_score=0.644231
[SOH_M_SOC] epoch 031 | VAL cls=0.8588 | SOC MedAPE=9.780% | SOH MedAPE=4.770% | val_score=0.665638
