nohup: ignoring input
[INFO] Device: cpu
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from non-test IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=200, best_score=0.769288, best_epoch=175
[stage1_soc] Loaded BEST checkpoint from epoch=175 | score=0.7692876669159386
[RESUME-stage2_soh] start_epoch=43, best_score=-0.615578, best_epoch=29
[stage2_soh] epoch 043 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.795% | VAL SOH MedAPE(raw)=4.521% | val_score=-0.685317 | TEST cls=0.8688
[stage2_soh] epoch 044 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.058% | VAL SOH MedAPE(raw)=4.269% | val_score=-0.672647 | TEST cls=0.8688
[stage2_soh] epoch 045 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.205% | VAL SOH MedAPE(raw)=4.904% | val_score=-0.704574 | TEST cls=0.8688
[stage2_soh] epoch 046 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.123% | VAL SOH MedAPE(raw)=4.517% | val_score=-0.677132 | TEST cls=0.8688
[stage2_soh] epoch 047 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.207% | VAL SOH MedAPE(raw)=4.466% | val_score=-0.683938 | TEST cls=0.8688
[stage2_soh] epoch 048 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.718% | VAL SOH MedAPE(raw)=4.354% | val_score=-0.698728 | TEST cls=0.8688
[stage2_soh] epoch 049 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.872% | VAL SOH MedAPE(raw)=4.313% | val_score=-0.701878 | TEST cls=0.8688
[stage2_soh] epoch 050 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.091% | VAL SOH MedAPE(raw)=4.746% | val_score=-0.690440 | TEST cls=0.8688
[stage2_soh] epoch 051 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.848% | VAL SOH MedAPE(raw)=4.326% | val_score=-0.683298 | TEST cls=0.8688
[stage2_soh] epoch 052 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.288% | VAL SOH MedAPE(raw)=3.908% | val_score=-0.646891 | TEST cls=0.8688
[stage2_soh] epoch 053 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.213% | VAL SOH MedAPE(raw)=4.018% | val_score=-0.683179 | TEST cls=0.8688
