nohup: ignoring input
[INFO] Device: cpu
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from non-test IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=200, best_score=0.781562, best_epoch=110
[stage1_soc] Loaded BEST checkpoint from epoch=110 | score=0.7815618664559785
[RESUME-stage2_soh] start_epoch=55, best_score=-0.736911, best_epoch=51
[stage2_soh] epoch 055 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.483% | VAL SOH MedAPE(raw)=5.053% | val_score=-0.776333 | TEST cls=0.8453
[stage2_soh] epoch 056 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.372% | VAL SOH MedAPE(raw)=5.058% | val_score=-0.769388 | TEST cls=0.8453
[stage2_soh] epoch 057 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.647% | VAL SOH MedAPE(raw)=5.212% | val_score=-0.751150 | TEST cls=0.8453
[stage2_soh] epoch 058 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.893% | VAL SOH MedAPE(raw)=5.152% | val_score=-0.758266 | TEST cls=0.8453
[stage2_soh] epoch 059 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.536% | VAL SOH MedAPE(raw)=4.959% | val_score=-0.794755 | TEST cls=0.8453
[stage2_soh] epoch 060 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.494% | VAL SOH MedAPE(raw)=5.342% | val_score=-0.769505 | TEST cls=0.8453
[stage2_soh] epoch 061 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.609% | VAL SOH MedAPE(raw)=5.254% | val_score=-0.751209 | TEST cls=0.8453
[stage2_soh] epoch 062 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.201% | VAL SOH MedAPE(raw)=4.973% | val_score=-0.761635 | TEST cls=0.8453
[stage2_soh] epoch 063 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.536% | VAL SOH MedAPE(raw)=5.297% | val_score=-0.769828 | TEST cls=0.8453
[stage2_soh] epoch 064 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.383% | VAL SOH MedAPE(raw)=5.056% | val_score=-0.785607 | TEST cls=0.8453
[stage2_soh] epoch 065 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.348% | VAL SOH MedAPE(raw)=5.307% | val_score=-0.775006 | TEST cls=0.8453
[stage2_soh] epoch 066 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.080% | VAL SOH MedAPE(raw)=4.997% | val_score=-0.763655 | TEST cls=0.8453
[stage2_soh] epoch 067 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.410% | VAL SOH MedAPE(raw)=5.100% | val_score=-0.759169 | TEST cls=0.8453
[stage2_soh] epoch 068 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.504% | VAL SOH MedAPE(raw)=5.328% | val_score=-0.763164 | TEST cls=0.8453
[stage2_soh] epoch 069 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.839% | VAL SOH MedAPE(raw)=5.168% | val_score=-0.795545 | TEST cls=0.8453
[stage2_soh] epoch 070 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.421% | VAL SOH MedAPE(raw)=5.501% | val_score=-0.768258 | TEST cls=0.8453
[stage2_soh] epoch 071 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.593% | VAL SOH MedAPE(raw)=5.792% | val_score=-0.809861 | TEST cls=0.8453
[stage2_soh] epoch 072 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.337% | VAL SOH MedAPE(raw)=5.048% | val_score=-0.796371 | TEST cls=0.8453
[stage2_soh] epoch 073 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.414% | VAL SOH MedAPE(raw)=5.743% | val_score=-0.777596 | TEST cls=0.8453
[stage2_soh] epoch 074 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.607% | VAL SOH MedAPE(raw)=5.674% | val_score=-0.738487 | TEST cls=0.8453
[stage2_soh] epoch 075 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.675% | VAL SOH MedAPE(raw)=5.148% | val_score=-0.785783 | TEST cls=0.8453
[stage2_soh] epoch 076 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.426% | VAL SOH MedAPE(raw)=5.184% | val_score=-0.753508 | TEST cls=0.8453
[stage2_soh] epoch 077 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.228% | VAL SOH MedAPE(raw)=5.439% | val_score=-0.794223 | TEST cls=0.8453
[stage2_soh] epoch 078 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.148% | VAL SOH MedAPE(raw)=5.010% | val_score=-0.784836 | TEST cls=0.8453
[stage2_soh] epoch 079 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.461% | VAL SOH MedAPE(raw)=5.040% | val_score=-0.766476 | TEST cls=0.8453
[stage2_soh] epoch 080 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.771% | VAL SOH MedAPE(raw)=5.635% | val_score=-0.795037 | TEST cls=0.8453
[stage2_soh] epoch 081 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.712% | VAL SOH MedAPE(raw)=5.567% | val_score=-0.754932 | TEST cls=0.8453
[stage2_soh] epoch 082 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.676% | VAL SOH MedAPE(raw)=5.688% | val_score=-0.789436 | TEST cls=0.8453
[stage2_soh] epoch 083 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.642% | VAL SOH MedAPE(raw)=5.120% | val_score=-0.755650 | TEST cls=0.8453
[stage2_soh] epoch 084 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.458% | VAL SOH MedAPE(raw)=5.283% | val_score=-0.738346 | TEST cls=0.8453
[stage2_soh] epoch 085 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.809% | VAL SOH MedAPE(raw)=5.512% | val_score=-0.776470 | TEST cls=0.8453
[stage2_soh] epoch 086 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=9.226% | VAL SOH MedAPE(raw)=5.009% | val_score=-0.770738 | TEST cls=0.8453
[stage2_soh] epoch 087 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.141% | VAL SOH MedAPE(raw)=5.124% | val_score=-0.810535 | TEST cls=0.8453
[stage2_soh] epoch 088 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.375% | VAL SOH MedAPE(raw)=5.063% | val_score=-0.776355 | TEST cls=0.8453
[stage2_soh] epoch 089 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.321% | VAL SOH MedAPE(raw)=5.260% | val_score=-0.797439 | TEST cls=0.8453
[stage2_soh] epoch 090 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.691% | VAL SOH MedAPE(raw)=5.729% | val_score=-0.762595 | TEST cls=0.8453
[stage2_soh] epoch 091 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.779% | VAL SOH MedAPE(raw)=5.291% | val_score=-0.770577 | TEST cls=0.8453
[stage2_soh] epoch 092 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.489% | VAL SOH MedAPE(raw)=5.189% | val_score=-0.783818 | TEST cls=0.8453
