nohup: ignoring input
[CACHE] Train tag: raw_train_c292c3d99a | hit=False
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=False
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 75733 | unique IDs = 512
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] U1-U41 train-only normalization is disabled for this baseline.
Epoch 000 | TE cls=0.3141 | SOC MedAPE(raw)=29.998% | SOH MedAPE(raw)=9.488% | train_select_score=0.008872 | time=34.55s
Epoch 001 | TE cls=0.3141 | SOC MedAPE(raw)=28.549% | SOH MedAPE(raw)=9.306% | train_select_score=0.263433 | time=34.67s
Epoch 002 | TE cls=0.4391 | SOC MedAPE(raw)=28.128% | SOH MedAPE(raw)=7.992% | train_select_score=0.444085 | time=34.59s
Epoch 003 | TE cls=0.5180 | SOC MedAPE(raw)=23.528% | SOH MedAPE(raw)=6.822% | train_select_score=0.508871 | time=34.50s
Epoch 004 | TE cls=0.5117 | SOC MedAPE(raw)=22.727% | SOH MedAPE(raw)=6.756% | train_select_score=0.556130 | time=34.59s
Epoch 005 | TE cls=0.5664 | SOC MedAPE(raw)=24.766% | SOH MedAPE(raw)=7.379% | train_select_score=0.586178 | time=34.64s
Epoch 006 | TE cls=0.5781 | SOC MedAPE(raw)=24.167% | SOH MedAPE(raw)=6.719% | train_select_score=0.610194 | time=34.61s
Epoch 007 | TE cls=0.6328 | SOC MedAPE(raw)=24.761% | SOH MedAPE(raw)=5.745% | train_select_score=0.631146 | time=34.54s
Epoch 008 | TE cls=0.5492 | SOC MedAPE(raw)=24.319% | SOH MedAPE(raw)=6.782% | train_select_score=0.650655 | time=34.61s
Epoch 009 | TE cls=0.7266 | SOC MedAPE(raw)=21.963% | SOH MedAPE(raw)=4.646% | train_select_score=0.667329 | time=35.01s
Epoch 010 | TE cls=0.6836 | SOC MedAPE(raw)=28.370% | SOH MedAPE(raw)=5.175% | train_select_score=0.678690 | time=34.46s
