nohup: ignoring input

==========================================================================================
[READ] Transfer ablation: soft reference
[READ] Source: proposed further-analysis summary, split == 'test'
==========================================================================================

==========================================================================================
[RUN] Transfer ablation: hard
[RUN] Meaning: Use argmax material prediction converted to one-hot downstream context.
[RUN] Pulse list: [30, 50, 70, 100, 300, 500, 700, 1000, 3000, 5000]
[RUN] Output directory: /scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/transfer_ablation/hard
==========================================================================================
[INFO] Device: cpu
[INFO] Material transfer mode: hard
[INFO] Meaning: Use argmax material prediction converted to one-hot downstream context.
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=200, best_score=0.834720, best_epoch=75
[hard | stage1_soc] Loaded BEST checkpoint from epoch=75 | score=0.8347195965402266
[RESUME-stage2_soh] start_epoch=14, best_score=-0.537601, best_epoch=8
[hard | stage2_soh] epoch 014 | VAL cls=0.9686 | SOC MedAPE(raw)=5.595% | SOH MedAPE(raw)=2.443% | val_score=-0.535037
[hard | stage2_soh] epoch 015 | VAL cls=0.9686 | SOC MedAPE(raw)=5.726% | SOH MedAPE(raw)=2.799% | val_score=-0.570968
[hard | stage2_soh] epoch 016 | VAL cls=0.9686 | SOC MedAPE(raw)=5.892% | SOH MedAPE(raw)=2.460% | val_score=-0.543581
[hard | stage2_soh] epoch 017 | VAL cls=0.9686 | SOC MedAPE(raw)=6.216% | SOH MedAPE(raw)=2.421% | val_score=-0.549607
[hard | stage2_soh] epoch 018 | VAL cls=0.9686 | SOC MedAPE(raw)=5.848% | SOH MedAPE(raw)=2.640% | val_score=-0.505699
[hard | stage2_soh] epoch 019 | VAL cls=0.9686 | SOC MedAPE(raw)=6.048% | SOH MedAPE(raw)=2.865% | val_score=-0.553503
[hard | stage2_soh] epoch 020 | VAL cls=0.9686 | SOC MedAPE(raw)=5.629% | SOH MedAPE(raw)=3.130% | val_score=-0.532723
[hard | stage2_soh] epoch 021 | VAL cls=0.9686 | SOC MedAPE(raw)=6.329% | SOH MedAPE(raw)=2.652% | val_score=-0.531772
[hard | stage2_soh] epoch 022 | VAL cls=0.9686 | SOC MedAPE(raw)=5.767% | SOH MedAPE(raw)=2.567% | val_score=-0.543262
[hard | stage2_soh] epoch 023 | VAL cls=0.9686 | SOC MedAPE(raw)=5.838% | SOH MedAPE(raw)=2.938% | val_score=-0.567098
[hard | stage2_soh] epoch 024 | VAL cls=0.9686 | SOC MedAPE(raw)=6.146% | SOH MedAPE(raw)=2.746% | val_score=-0.517492
[hard | stage2_soh] epoch 025 | VAL cls=0.9686 | SOC MedAPE(raw)=5.883% | SOH MedAPE(raw)=2.981% | val_score=-0.568321
[hard | stage2_soh] epoch 026 | VAL cls=0.9686 | SOC MedAPE(raw)=6.034% | SOH MedAPE(raw)=2.804% | val_score=-0.529652
[hard | stage2_soh] epoch 027 | VAL cls=0.9686 | SOC MedAPE(raw)=6.074% | SOH MedAPE(raw)=2.818% | val_score=-0.563900
[hard | stage2_soh] epoch 028 | VAL cls=0.9686 | SOC MedAPE(raw)=6.146% | SOH MedAPE(raw)=2.146% | val_score=-0.546301
[hard | stage2_soh] epoch 029 | VAL cls=0.9686 | SOC MedAPE(raw)=6.323% | SOH MedAPE(raw)=2.786% | val_score=-0.561158
[hard | stage2_soh] epoch 030 | VAL cls=0.9686 | SOC MedAPE(raw)=6.218% | SOH MedAPE(raw)=2.343% | val_score=-0.548063
[hard | stage2_soh] epoch 031 | VAL cls=0.9686 | SOC MedAPE(raw)=5.862% | SOH MedAPE(raw)=2.822% | val_score=-0.544047
[hard | stage2_soh] epoch 032 | VAL cls=0.9686 | SOC MedAPE(raw)=5.972% | SOH MedAPE(raw)=2.447% | val_score=-0.524683
[hard | stage2_soh] epoch 033 | VAL cls=0.9686 | SOC MedAPE(raw)=5.978% | SOH MedAPE(raw)=2.369% | val_score=-0.544891
[hard | stage2_soh] epoch 034 | VAL cls=0.9686 | SOC MedAPE(raw)=5.875% | SOH MedAPE(raw)=2.417% | val_score=-0.530884
[hard | stage2_soh] epoch 035 | VAL cls=0.9686 | SOC MedAPE(raw)=6.012% | SOH MedAPE(raw)=2.991% | val_score=-0.526130
[hard | stage2_soh] epoch 036 | VAL cls=0.9686 | SOC MedAPE(raw)=5.634% | SOH MedAPE(raw)=2.607% | val_score=-0.569436
[hard | stage2_soh] epoch 037 | VAL cls=0.9686 | SOC MedAPE(raw)=6.020% | SOH MedAPE(raw)=2.876% | val_score=-0.537096
[hard | stage2_soh] epoch 038 | VAL cls=0.9686 | SOC MedAPE(raw)=5.903% | SOH MedAPE(raw)=2.410% | val_score=-0.559772
[hard | stage2_soh] epoch 039 | VAL cls=0.9686 | SOC MedAPE(raw)=5.837% | SOH MedAPE(raw)=2.436% | val_score=-0.522916
[hard | stage2_soh] epoch 040 | VAL cls=0.9686 | SOC MedAPE(raw)=5.378% | SOH MedAPE(raw)=2.294% | val_score=-0.513671
[hard | stage2_soh] epoch 041 | VAL cls=0.9686 | SOC MedAPE(raw)=6.103% | SOH MedAPE(raw)=2.981% | val_score=-0.528428
[hard | stage2_soh] epoch 042 | VAL cls=0.9686 | SOC MedAPE(raw)=6.072% | SOH MedAPE(raw)=2.257% | val_score=-0.490015
[hard | stage2_soh] epoch 043 | VAL cls=0.9686 | SOC MedAPE(raw)=5.937% | SOH MedAPE(raw)=2.903% | val_score=-0.497410
[hard | stage2_soh] epoch 044 | VAL cls=0.9686 | SOC MedAPE(raw)=5.938% | SOH MedAPE(raw)=2.563% | val_score=-0.551529
[hard | stage2_soh] epoch 045 | VAL cls=0.9686 | SOC MedAPE(raw)=6.033% | SOH MedAPE(raw)=2.581% | val_score=-0.522729
[hard | stage2_soh] epoch 046 | VAL cls=0.9686 | SOC MedAPE(raw)=5.706% | SOH MedAPE(raw)=2.291% | val_score=-0.504159
[hard | stage2_soh] epoch 047 | VAL cls=0.9686 | SOC MedAPE(raw)=6.007% | SOH MedAPE(raw)=2.513% | val_score=-0.477897
[hard | stage2_soh] epoch 048 | VAL cls=0.9686 | SOC MedAPE(raw)=5.837% | SOH MedAPE(raw)=2.475% | val_score=-0.495429
[hard | stage2_soh] epoch 049 | VAL cls=0.9686 | SOC MedAPE(raw)=5.953% | SOH MedAPE(raw)=2.322% | val_score=-0.518488
[hard | stage2_soh] epoch 050 | VAL cls=0.9686 | SOC MedAPE(raw)=6.011% | SOH MedAPE(raw)=2.328% | val_score=-0.496455
[hard | stage2_soh] epoch 051 | VAL cls=0.9686 | SOC MedAPE(raw)=6.202% | SOH MedAPE(raw)=2.465% | val_score=-0.516884
[hard | stage2_soh] epoch 052 | VAL cls=0.9686 | SOC MedAPE(raw)=6.085% | SOH MedAPE(raw)=2.338% | val_score=-0.457556
[hard | stage2_soh] epoch 053 | VAL cls=0.9686 | SOC MedAPE(raw)=5.711% | SOH MedAPE(raw)=2.335% | val_score=-0.498074
