soc_flow_base_noise,soh_flow_base_noise
-1.2076788,-0.7408861
-0.10483062,-1.7637644
0.6665683,1.3406315
-2.9555433,-2.9274898
-0.29986262,-1.7202817
0.32970738,1.5851282
-0.378592,-0.78116536
-1.348987,-2.916284
-2.9688635,-2.97258
-0.2431047,-1.7704606
-0.8008716,-1.7435062
0.2748139,-0.43487978
-0.31318176,-2.5779214
-0.33324647,-1.0447313
-0.8614752,0.11496663
0.5740236,-0.18233669
0.8217025,0.22272766
1.0760765,1.8054395
0.2514056,0.9960152
0.023774385,-0.606328
-0.8479743,-1.9279262
1.8132772,2.1561446
-1.3043091,-0.56280994
0.33726335,-0.3924862
0.9620843,2.183926
0.8274975,0.2669602
0.89363384,-1.8466624
-0.7302139,-2.9013011
0.39615655,-0.9167454
-0.747988,-2.2951882
-0.5512943,-2.3282635
-1.6334918,-2.85893
0.15364647,-1.5116687
-0.75039935,-2.4262683
-2.8128972,-2.9462357
-2.074016,-2.9311674
2.7992826,-1.7388602
2.6616297,-1.9634736
2.0304816,2.6025403
-1.0588517,-2.4950407
-2.4359095,-1.9789612
-2.2169292,-2.7240894
0.9770253,0.61822003
1.0661176,-0.01698795
2.379019,1.7620761
1.9916747,1.863966
-0.8687309,-1.7708831
2.339065,0.6710291
0.7211437,-1.0410908
1.1223552,-1.2305187
2.2037988,-2.0828807
-1.3471643,-2.2414484
2.9962845,-1.525898
-0.30127573,-0.21799883
-0.74634814,-0.52807057
0.58199954,1.1635851
-0.56321263,-2.9952075
-1.3385162,-2.9951386
0.7446966,1.059661
-2.5533304,-2.3509035
2.9467776,0.83953875
-2.9007006,-2.623811
-0.7042067,-1.7669811
-1.6415172,-2.9556465
-2.9351027,-2.9595354
-2.9611309,-2.9901628
2.2643785,2.0672374
1.898107,2.759988
-0.82152486,-0.03235106
1.9845066,2.8008766
2.3304796,2.890707
-0.41746438,1.3104124
-1.1805984,-2.5143728
-1.953798,-2.5573127
2.5340445,1.5647972
0.097304106,2.797933
1.5297195,0.027768731
-2.8441007,2.957259
-1.0346794,-2.7068202
1.7804289,-2.491548
-0.15503937,-2.566857
-1.1636443,-2.9800737
-2.8909707,-2.022815
-2.9788616,-2.994182
-2.0552082,-2.8683753
2.4098082,2.8076432
-2.1814144,-2.8885884
-2.0740018,-2.476227
-1.5968301,-0.17528012
-2.97919,-2.9936287
-1.0371218,-2.78618
-2.9220178,-2.9696615
-2.8439775,-2.9735558
2.985839,2.4046288
-0.38710642,2.8485231
2.98755,1.2096609
-2.1799438,2.206297
1.0252368,-1.1359164
0.71235037,-0.05874777
-0.2143712,-1.1791205
-0.26636815,-0.3918568
-0.23574185,-0.5584229
-0.8288765,2.1851218
0.1728859,0.23849523
0.6427705,0.28173703
0.39042187,-1.2131848
-1.1224036,-0.36241007
0.10117555,-0.6977126
1.3048754,-0.53139716
0.24999237,-1.1651268
0.5874877,-2.4985871
-1.4691001,-0.22359884
-0.031808853,-1.6435963
0.91978526,0.06288208
0.21530652,-0.8165595
-0.144907,-2.7811801
-0.3448913,0.7642348
0.4450109,-0.8511135
0.00840044,-1.3036149
-0.09653187,-1.4800296
-0.82935786,-0.70228684
-1.4081947,2.984754
-0.7984483,-2.9922142
0.880779,-2.9787009
1.0657585,-1.4990611
-2.4604611,-2.991945
-0.8670609,-1.0679624
1.8234096,-0.6482792
-0.72082376,-1.223027
0.5681116,-1.322045
1.1008785,1.4742105
-2.85046,-2.8020346
0.17959166,-1.5496151
-1.0309122,1.1905341
-0.9623463,-0.48894358
-1.0655996,-2.9897106
-2.970924,-2.9600163
-0.250396,-2.4569051
-1.2558883,-2.3510497
0.346452,0.08121504
1.6282454,1.7283885
0.020634174,-0.9764266
-0.80387473,0.4333681
0.47210974,-0.37340468
0.2717495,0.26099443
-0.1812706,1.795538
0.9141325,0.9609318
0.27861667,0.3466643
-1.4075342,-2.61462
1.9151528,1.3389422
-1.4086475,-1.0941865
0.7236645,-0.4825933
1.4582942,2.5883863
1.3397698,1.1613573
0.90542483,-1.746021
-0.4788072,-2.8710058
0.28411436,-0.92865336
0.42587733,-1.869325
-0.3186195,-2.445085
-1.5563585,-2.9269125
0.4790821,-0.20316878
-0.6026449,-2.2229261
-2.8582036,-2.9665072
-1.8755932,-2.916635
2.638115,-1.6785219
2.8496294,0.032994986
1.9133198,2.764644
-1.0932283,-2.6014938
-2.4956627,-2.0412698
-2.8639631,-2.905848
1.0177662,-0.01768452
1.2457005,-0.14226878
2.645135,2.0091991
2.1283352,2.049651
-0.7359692,-1.3092363
2.6684382,0.8821963
0.9655628,-1.4053855
1.1938782,-1.4212017
0.8696716,-2.3376212
-1.33,-2.8221319
2.994902,-1.4099159
0.10883927,-0.08545655
-0.39414096,-0.70771515
1.1082959,1.1205382
-0.32960224,-2.9958315
-0.5629108,-2.9554987
0.8037162,1.004169
-2.59647,-2.0235708
2.9609385,1.4972932
-2.9767911,-2.779617
0.5437498,-0.8278577
-1.4385829,-2.9889915
-2.9544308,-2.9443636
-2.9540474,-2.9895494
2.562512,2.591951
1.3451233,2.1565742
-0.68412876,-0.76406085
1.7655963,2.7157576
2.56863,2.8926778
-0.40867424,1.000449
-1.4443954,-2.5323992
-2.3380356,-2.8271642
-1.2414554,-1.4183561
0.16278124,2.536108
1.8187214,0.5105387
-2.57865,2.956454
1.1531682,2.5064569
2.2977037,-2.1076207
-0.47935522,-2.4977942
-1.2266928,-2.9812658
-1.2515521,-0.59027016
-2.9796486,-2.9948568
-2.7587261,-2.8827705
2.5957499,2.7178633
-2.4172432,-2.9369733
-1.6965874,-2.6809726
-2.274151,-1.6632454
-2.9704978,-2.9934485
-0.71171474,-2.6864705
-2.803801,-2.9087062
-2.2703924,-2.9626591
2.9838922,0.9955456
0.7357543,2.7536333
2.9864507,0.31563413
-1.4820408,2.2823067
0.9961357,-1.2177268
-0.17194629,0.035538793
-1.2405485,-1.3975499
-1.0663493,-0.6409067
-0.5463662,-0.62804294
-0.0768671,-0.16520119
-1.48533,0.058598563
0.84202147,0.47723854
0.24361205,-1.2498996
-1.0960578,-0.5035765
0.97505593,-0.4674983
0.9195839,-0.6884694
0.3064909,-0.6371584
-0.051086664,-2.817588
-2.3360445,-0.8621818
-0.23982024,-1.6892573
