Group,No. of evaluated records,Class accuracy (%),Material accuracy (%),SOC RMSE (%),SOC MAE (%),SOC MedAE (%),SOC MedAPE (%),SOH RMSE (%),SOH MAE (%),SOH MedAE (%),SOH MedAPE (%)
All records,1280,91.9,97.4,7.86,3.84,1.78,4.5,6.07,4.02,2.2,2.62
LFP_35Ah,90,98.9,100.0,5.48,3.78,2.81,8.36,4.83,3.63,2.81,3.17
LFP_68Ah,220,98.2,98.2,6.56,4.91,3.85,9.86,6.44,4.58,2.65,3.27
LMO_10Ah,260,89.2,100.0,3.49,1.84,0.85,2.05,3.92,2.42,1.42,1.76
LMO_24Ah,160,97.5,97.5,17.72,7.84,2.36,6.63,7.87,4.77,2.42,3.11
LMO_25Ah,150,81.3,93.3,4.38,3.37,2.6,6.23,7.98,6.18,4.48,5.66
LMO_26Ah,150,83.3,99.3,7.01,5.54,4.92,8.84,7.53,6.2,5.74,6.18
NMC_15Ah,150,96.0,96.0,2.36,1.14,0.57,1.69,2.43,1.95,1.64,2.15
NMC_21Ah,100,92.0,92.0,5.01,2.6,1.0,1.74,5.55,2.7,0.92,0.93
LFP,310,98.4,98.7,6.27,4.58,3.51,9.12,6.01,4.3,2.75,3.21
LMO,720,88.2,97.9,9.4,4.26,1.77,5.19,6.66,4.51,2.55,3.1
NMC,250,94.4,94.4,3.66,1.73,0.78,1.71,3.98,2.25,1.49,1.84
