soh_bin,n,mae,rmse,p50,p90,p95
"(0.526, 0.575]",20,0.07970445777570137,0.0824970560606456,0.07789935779469137,0.10786716701341083,0.10867719611061888
"(0.575, 0.624]",20,0.08185480328886834,0.10424706588313379,0.0612640736237014,0.17156430196652336,0.1732293085134191
"(0.624, 0.672]",20,0.024814643658358847,0.03082264396567753,0.024316422486139744,0.050425034175245194,0.057181420710971
"(0.672, 0.721]",70,0.08348948216525202,0.09475000702834475,0.09931421402952234,0.13086465453587096,0.13267558501034074
"(0.721, 0.769]",170,0.03441102271354952,0.04894309102806201,0.02349858431746671,0.07009652076120995,0.0965492435511874
"(0.769, 0.817]",270,0.04826454610278172,0.06751536965117513,0.03378471845804615,0.10389636655706026,0.14095776527467488
"(0.817, 0.866]",250,0.027669545605164266,0.04350999685754273,0.016502894964619652,0.07276934825190888,0.10889130290214931
"(0.866, 0.914]",250,0.02318943849916226,0.035518225814734176,0.014664639684629277,0.04896769470582723,0.09443076271158785
"(0.914, 0.963]",80,0.03678230741071466,0.04666351152997379,0.035444954099747406,0.0637992042442541,0.09343296890698118
"(0.963, 1.011]",130,0.036578088370201094,0.0539490751092082,0.021186660423423098,0.08385168743633126,0.11452215308315579
