label,mape_pct,count,soh_bin
LFP_68Ah,16.364966040140455,40,"(0.526, 0.72]"
LMO_10Ah,5.157995440081182,50,"(0.526, 0.72]"
LMO_24Ah,11.897417530663327,10,"(0.526, 0.72]"
LMO_25Ah,14.405452072944522,30,"(0.526, 0.72]"
LFP_68Ah,11.414689815701102,10,"(0.72, 0.763]"
LMO_24Ah,8.047408410460111,40,"(0.72, 0.763]"
NMC_15Ah,3.0835410605389044,80,"(0.72, 0.763]"
LFP_68Ah,6.272632364599515,30,"(0.763, 0.79]"
LMO_24Ah,2.413418201489329,30,"(0.763, 0.79]"
NMC_15Ah,3.2274699345865883,60,"(0.763, 0.79]"
NMC_21Ah,9.541783780983861,10,"(0.763, 0.79]"
LFP_35Ah,7.665968505484725,10,"(0.79, 0.807]"
LFP_68Ah,3.122737364739567,10,"(0.79, 0.807]"
LMO_10Ah,10.01245538541247,10,"(0.79, 0.807]"
LMO_24Ah,5.102373221662585,60,"(0.79, 0.807]"
LMO_25Ah,4.068760933503875,10,"(0.79, 0.807]"
LMO_26Ah,11.687380161625024,20,"(0.79, 0.807]"
NMC_15Ah,1.7742420935587588,10,"(0.79, 0.807]"
LFP_35Ah,1.6157531599140456,10,"(0.807, 0.832]"
LFP_68Ah,2.6682473160866134,60,"(0.807, 0.832]"
LMO_24Ah,10.491250017884719,20,"(0.807, 0.832]"
LMO_25Ah,3.0294006755772713,10,"(0.807, 0.832]"
LMO_26Ah,12.556396393974032,20,"(0.807, 0.832]"
LFP_35Ah,4.778388329443906,10,"(0.832, 0.852]"
LFP_68Ah,1.914652594129853,50,"(0.832, 0.852]"
LMO_10Ah,2.256632872456844,10,"(0.832, 0.852]"
LMO_25Ah,5.184334353840421,30,"(0.832, 0.852]"
LMO_26Ah,2.829614518946555,20,"(0.832, 0.852]"
NMC_21Ah,1.511720106536651,10,"(0.832, 0.852]"
LFP_35Ah,2.3997402582558616,30,"(0.852, 0.882]"
LFP_68Ah,2.7449723498651677,20,"(0.852, 0.882]"
LMO_10Ah,1.3798275236819069,60,"(0.852, 0.882]"
LMO_25Ah,3.292970218679287,10,"(0.852, 0.882]"
LMO_26Ah,5.0829080560675655,10,"(0.852, 0.882]"
LFP_35Ah,3.477292993659971,20,"(0.882, 0.899]"
LMO_10Ah,1.1162734242520171,70,"(0.882, 0.899]"
LMO_25Ah,8.764823610571616,30,"(0.882, 0.899]"
LMO_26Ah,3.0870083457718067,10,"(0.882, 0.899]"
LFP_35Ah,0.9264457415630251,10,"(0.899, 0.984]"
LMO_10Ah,2.391884373887126,60,"(0.899, 0.984]"
LMO_25Ah,5.35601944829315,30,"(0.899, 0.984]"
LMO_26Ah,4.412328647131989,30,"(0.899, 0.984]"
LMO_26Ah,3.537221004252607,40,"(0.984, 1.011]"
NMC_21Ah,3.381594265709995,80,"(0.984, 1.011]"
