SOC,SOH,Material,Type
5.0,0.60549,LMO_10Ah,Fixed_SOC
5.0,0.63985,LMO_10Ah,Fixed_SOC
5.0,0.6453599999999999,LMO_10Ah,Fixed_SOC
5.0,0.63319,LMO_10Ah,Fixed_SOC
5.0,0.55447,LMO_10Ah,Fixed_SOC
5.0,0.65591,LMO_10Ah,Fixed_SOC
5.0,0.65152,LMO_10Ah,Fixed_SOC
5.0,0.69576,LMO_10Ah,Fixed_SOC
5.0,0.6653800000000001,LMO_10Ah,Fixed_SOC
5.0,0.69119,LMO_10Ah,Fixed_SOC
5.0,0.56791,LMO_10Ah,Fixed_SOC
5.0,0.69997,LMO_10Ah,Fixed_SOC
5.0,0.67829,LMO_10Ah,Fixed_SOC
5.0,0.67698,LMO_10Ah,Fixed_SOC
5.0,0.69477,LMO_10Ah,Fixed_SOC
5.0,0.6853,LMO_10Ah,Fixed_SOC
5.0,0.66769,LMO_10Ah,Fixed_SOC
5.0,0.79655,LMO_10Ah,Fixed_SOC
5.0,0.71776,LMO_10Ah,Fixed_SOC
5.0,0.76227,LMO_10Ah,Fixed_SOC
5.0,0.72993,LMO_10Ah,Fixed_SOC
5.0,0.6051300000000001,LMO_10Ah,Fixed_SOC
5.0,0.7556499999999999,LMO_10Ah,Fixed_SOC
5.0,0.80253,LMO_10Ah,Fixed_SOC
5.0,0.80443,LMO_10Ah,Fixed_SOC
5.0,0.87844,LMO_10Ah,Fixed_SOC
5.0,0.8573600000000001,LMO_10Ah,Fixed_SOC
5.0,0.8853099999999999,LMO_10Ah,Fixed_SOC
5.0,0.88667,LMO_10Ah,Fixed_SOC
5.0,0.87259,LMO_10Ah,Fixed_SOC
5.0,0.8871399999999999,LMO_10Ah,Fixed_SOC
5.0,0.87876,LMO_10Ah,Fixed_SOC
5.0,0.51908,LMO_10Ah,Fixed_SOC
5.0,0.86738,LMO_10Ah,Fixed_SOC
5.0,0.89075,LMO_10Ah,Fixed_SOC
5.0,0.8744500000000001,LMO_10Ah,Fixed_SOC
5.0,0.85451,LMO_10Ah,Fixed_SOC
5.0,0.83956,LMO_10Ah,Fixed_SOC
5.0,0.80747,LMO_10Ah,Fixed_SOC
5.0,0.86249,LMO_10Ah,Fixed_SOC
5.0,0.88702,LMO_10Ah,Fixed_SOC
5.0,0.83622,LMO_10Ah,Fixed_SOC
5.0,0.8721099999999999,LMO_10Ah,Fixed_SOC
5.0,0.59985,LMO_10Ah,Fixed_SOC
5.0,0.87822,LMO_10Ah,Fixed_SOC
5.0,0.91801,LMO_10Ah,Fixed_SOC
5.0,0.8817999999999999,LMO_10Ah,Fixed_SOC
5.0,0.8700699999999999,LMO_10Ah,Fixed_SOC
5.0,0.87985,LMO_10Ah,Fixed_SOC
5.0,0.8743299999999999,LMO_10Ah,Fixed_SOC
5.0,0.87194,LMO_10Ah,Fixed_SOC
5.0,0.87094,LMO_10Ah,Fixed_SOC
5.0,0.8465199999999999,LMO_10Ah,Fixed_SOC
5.0,0.90113,LMO_10Ah,Fixed_SOC
5.0,0.5357700000000001,LMO_10Ah,Fixed_SOC
5.0,0.87996,LMO_10Ah,Fixed_SOC
5.0,0.9110799999999999,LMO_10Ah,Fixed_SOC
5.0,0.88591,LMO_10Ah,Fixed_SOC
5.0,0.8843500000000001,LMO_10Ah,Fixed_SOC
5.0,0.87019,LMO_10Ah,Fixed_SOC
5.0,0.8652200000000001,LMO_10Ah,Fixed_SOC
5.0,0.89144,LMO_10Ah,Fixed_SOC
5.0,0.88907,LMO_10Ah,Fixed_SOC
5.0,0.8896000000000001,LMO_10Ah,Fixed_SOC
5.0,0.89939,LMO_10Ah,Fixed_SOC
5.0,0.69177,LMO_10Ah,Fixed_SOC
5.0,0.8918200000000001,LMO_10Ah,Fixed_SOC
5.0,0.89053,LMO_10Ah,Fixed_SOC
5.0,0.89374,LMO_10Ah,Fixed_SOC
5.0,0.87891,LMO_10Ah,Fixed_SOC
5.0,0.90417,LMO_10Ah,Fixed_SOC
5.0,0.90144,LMO_10Ah,Fixed_SOC
5.0,0.8891899999999999,LMO_10Ah,Fixed_SOC
5.0,0.8746,LMO_10Ah,Fixed_SOC
5.0,0.8954700000000001,LMO_10Ah,Fixed_SOC
5.0,0.92377,LMO_10Ah,Fixed_SOC
5.0,0.61491,LMO_10Ah,Fixed_SOC
5.0,0.9320299999999999,LMO_10Ah,Fixed_SOC
5.0,0.91394,LMO_10Ah,Fixed_SOC
5.0,0.91713,LMO_10Ah,Fixed_SOC
5.0,0.94788,LMO_10Ah,Fixed_SOC
5.0,0.89175,LMO_10Ah,Fixed_SOC
5.0,0.87994,LMO_10Ah,Fixed_SOC
5.0,0.8851100000000001,LMO_10Ah,Fixed_SOC
5.0,0.88458,LMO_10Ah,Fixed_SOC
5.0,0.8749399999999999,LMO_10Ah,Fixed_SOC
5.0,0.91862,LMO_10Ah,Fixed_SOC
5.0,0.58605,LMO_10Ah,Fixed_SOC
5.0,0.9073,LMO_10Ah,Fixed_SOC
5.0,0.87927,LMO_10Ah,Fixed_SOC
5.0,0.9082700000000001,LMO_10Ah,Fixed_SOC
5.0,0.9074099999999999,LMO_10Ah,Fixed_SOC
5.0,0.9049699999999999,LMO_10Ah,Fixed_SOC
5.0,0.89191,LMO_10Ah,Fixed_SOC
5.0,0.5745199999999999,LMO_10Ah,Fixed_SOC
5.0,0.77994,NMC_15Ah,Fixed_SOC
5.0,0.7561333333333333,NMC_15Ah,Fixed_SOC
5.0,0.77272,NMC_15Ah,Fixed_SOC
5.0,0.76966,NMC_15Ah,Fixed_SOC
5.0,0.78008,NMC_15Ah,Fixed_SOC
5.0,0.78396,NMC_15Ah,Fixed_SOC
5.0,0.7803533333333333,NMC_15Ah,Fixed_SOC
5.0,0.76816,NMC_15Ah,Fixed_SOC
5.0,0.7721333333333333,NMC_15Ah,Fixed_SOC
5.0,0.7779533333333333,NMC_15Ah,Fixed_SOC
5.0,0.8001333333333334,NMC_15Ah,Fixed_SOC
5.0,0.7795333333333333,NMC_15Ah,Fixed_SOC
5.0,0.7849733333333333,NMC_15Ah,Fixed_SOC
5.0,0.7764399999999999,NMC_15Ah,Fixed_SOC
5.0,0.79182,NMC_15Ah,Fixed_SOC
5.0,0.7905599999999999,NMC_15Ah,Fixed_SOC
5.0,0.7750533333333334,NMC_15Ah,Fixed_SOC
5.0,0.78856,NMC_15Ah,Fixed_SOC
5.0,0.7973666666666667,NMC_15Ah,Fixed_SOC
5.0,0.7850733333333333,NMC_15Ah,Fixed_SOC
5.0,0.7833466666666666,NMC_15Ah,Fixed_SOC
