U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,SOC,SOH
3.6789,3.7137,3.7165,3.6828,3.68,3.6454,3.6424,3.6763,3.6795,3.749,3.7539,3.6865,3.6805,3.611,3.6057,3.673,3.6793,3.783,3.7904,3.6898,3.6807,3.5769,3.569,3.6698,3.6791,3.8169,3.8259,3.6928,3.681,3.5431,3.5327,3.6672,3.6791,3.8503,3.8613,3.6958,3.6814,3.5099,3.4971,3.6642,3.6789,20.0,0.679552
3.7548,3.7997,3.8032,3.7604,3.7562,3.7116,3.7077,3.7509,3.7558,3.8452,3.8519,3.7664,3.7571,3.6677,3.6607,3.7469,3.7555,3.8891,3.8987,3.7716,3.7576,3.624,3.6138,3.7434,3.7557,3.9324,3.9442,3.7762,3.7583,3.5806,3.5675,3.7395,3.7553,3.9751,3.9886,3.7806,3.7588,3.538,3.5218,3.7358,3.7551,20.0,0.561636
3.6305,3.6654,3.6695,3.6364,3.6317,3.5966,3.5924,3.6259,3.6312,3.7011,3.7086,3.6424,3.6322,3.562,3.5541,3.621,3.6308,3.7353,3.7467,3.6484,3.6326,3.5276,3.516,3.6166,3.6308,3.7692,3.7836,3.6538,3.6331,3.4935,3.4781,3.6133,3.6308,3.8032,3.8203,3.6584,3.6335,3.4595,3.4407,3.6078,3.6305,20.0,0.776636
3.6319,3.6635,3.6661,3.6356,3.6326,3.601,3.5982,3.6289,3.6322,3.6954,3.7005,3.6394,3.6331,3.5699,3.5645,3.6259,3.6321,3.7267,3.7339,3.6428,3.6335,3.5387,3.5311,3.6229,3.6319,3.7576,3.7671,3.6461,3.6336,3.5076,3.4976,3.6198,3.6317,3.7883,3.7995,3.6493,3.634,3.4772,3.4649,3.6166,3.6314,20.0,0.772804
3.5818,3.605,3.6084,3.5861,3.5826,3.5597,3.5562,3.5785,3.5822,3.6285,3.6347,3.5903,3.5831,3.5373,3.5308,3.575,3.5822,3.6515,3.6607,3.594,3.5834,3.5151,3.5055,3.5713,3.5822,3.674,3.6858,3.5978,3.5836,3.4932,3.4807,3.5678,3.582,3.6961,3.7104,3.6013,3.5838,3.4716,3.4565,3.5641,3.5818,20.0,0.9329120000000001
3.5933,3.6161,3.6192,3.5977,3.5938,3.5713,3.5678,3.5894,3.5934,3.6391,3.6452,3.6019,3.5941,3.5487,3.5422,3.5857,3.5934,3.6616,3.6707,3.6057,3.5945,3.5265,3.5169,3.5818,3.5931,3.6837,3.6954,3.6098,3.5947,3.5046,3.4921,3.5783,3.5931,3.7056,3.7198,3.614,3.5952,3.483,3.4674,3.5752,3.5929,20.0,0.8938240000000001
3.6433,3.6758,3.6786,3.6479,3.6443,3.6122,3.6091,3.6401,3.644,3.7084,3.714,3.6522,3.6449,3.5803,3.5745,3.6366,3.6438,3.7402,3.7486,3.6565,3.6452,3.5487,3.5399,3.6328,3.6435,3.7718,3.7825,3.66,3.6454,3.5167,3.5053,3.6298,3.6433,3.8029,3.816,3.6642,3.6459,3.4853,3.4712,3.6263,3.6433,20.0,0.728436
3.6382,3.6684,3.6714,3.6426,3.6391,3.6092,3.6059,3.6349,3.6387,3.6991,3.7049,3.6473,3.6396,3.5794,3.5731,3.6312,3.6387,3.7288,3.7374,3.6517,3.6401,3.5497,3.5408,3.6277,3.6384,3.7583,3.7693,3.6561,3.6405,3.5202,3.5085,3.6243,3.6384,3.7874,3.8008,3.6593,3.6407,3.4907,3.4763,3.6208,3.638,20.0,0.757336
3.6033,3.6266,3.6298,3.6077,3.6038,3.5808,3.5773,3.5996,3.6034,3.65,3.6563,3.6119,3.6043,3.5578,3.5513,3.5957,3.6033,3.673,3.6821,3.6159,3.6045,3.535,3.5253,3.592,3.6031,3.6956,3.7074,3.6196,3.6047,3.5123,3.4999,3.5882,3.6029,3.7181,3.7321,3.6238,3.605,3.49,3.4748,3.5845,3.6026,20.0,0.8600679999999999
3.638,3.6666,3.6696,3.6419,3.6387,3.6105,3.6073,3.6349,3.6384,3.6956,3.7012,3.6461,3.6393,3.5824,3.5764,3.6317,3.6384,3.7239,3.7321,3.6496,3.6396,3.5546,3.546,3.6284,3.6382,3.7516,3.762,3.6531,3.6398,3.5271,3.5157,3.6252,3.638,3.779,3.7913,3.6563,3.6403,3.5002,3.4862,3.6222,3.6379,20.0,0.7584839999999999
3.5843,3.6057,3.6087,3.5882,3.5848,3.5638,3.5606,3.5811,3.5845,3.627,3.6328,3.592,3.5852,3.5429,3.5369,3.5776,3.5845,3.6482,3.6565,3.5952,3.5855,3.5223,3.5132,3.5743,3.5843,3.6691,3.6798,3.5985,3.5857,3.5018,3.49,3.5708,3.5841,3.6895,3.7026,3.6019,3.5859,3.482,3.4674,3.5676,3.5841,20.0,0.9315439999999999
