,U2-U1,U3-U1,U4-U1,U5-U1,U6-U1,U7-U1,U8-U1,U9-U1,U10-U1,U11-U1,U12-U1,U13-U1,U14-U1,U15-U1,U16-U1,U17-U1,U18-U1,U19-U1,U20-U1,U21-U1,U22-U1,U23-U1,U24-U1,U25-U1,U26-U1,U27-U1,U28-U1,U29-U1,U30-U1,U31-U1,U32-U1,U33-U1,U34-U1,U35-U1,U36-U1,U37-U1,U38-U1,U39-U1,U40-U1,U41-U1
U2-U1,0.9999999999999998,0.9775376966320491,0.7507078893446362,0.665539172067,-0.9983104350359426,-0.9751323373189479,-0.6748739192612672,0.48631164306594576,0.9997398201766862,0.976450632812133,0.7295008167724417,0.6756436766162908,-0.9990224870952563,-0.9749230864876293,-0.6948027388902434,0.29032061408468646,0.9997555843803623,0.9771313285318007,0.7303624735650824,0.6906985440491308,-0.9992318850330434,-0.9740802322343168,-0.7036332420257844,0.0591133756773849,0.9997455738143347,0.977827858525131,0.7322350306476709,0.6879590336619642,-0.9992891514276606,-0.9734775518868514,-0.7117768482779046,-0.1365172459226105,0.999728193891788,0.9785388729015648,0.734469547145859,0.6744169014986674,-0.9993342207651749,-0.9731497076993131,-0.7162552929345075,-0.27016738204599544
U3-U1,0.9775376966320493,1.0,0.870016751798687,0.73162046866138,-0.9742909814688843,-0.9988250708264658,-0.8116753962731096,0.4688817884188163,0.9803260448784313,0.9998543480070641,0.8548981024925462,0.7547940231411844,-0.9757126043324463,-0.99919971607658,-0.8286670184273499,0.21740614185835216,0.9799390777628478,0.9998244045968075,0.8558817843139578,0.7721901267647718,-0.9767708523436908,-0.9992424628676166,-0.8355673783721225,-0.05500282295299091,0.9796557509043377,0.9997567403544592,0.8575002699923077,0.7743991227678276,-0.9770377961130722,-0.9992276075829547,-0.8417870816374553,-0.26407317727161084,0.9790971578633177,0.9996156555055772,0.8591035669089175,0.7661530622637616,-0.9770346689698015,-0.9992006347309306,-0.8449738933508173,-0.4035777422699038
U4-U1,0.7507078893446362,0.8700167517986869,0.9999999999999998,0.8004150984295587,-0.7393029351104682,-0.8683648465458299,-0.9713297653185042,0.4132848747770374,0.7593514023815922,0.8721604031406875,0.9965714864591947,0.8421719849556704,-0.7435026392499797,-0.8710567772153004,-0.9841029585435899,0.07702303740269802,0.7577760517392095,0.8700720261739705,0.9963827662527829,0.8605492083805807,-0.746771605383198,-0.8735233975106751,-0.988018602081343,-0.2527090279793638,0.7565847961111211,0.867985438384837,0.9962087694001851,0.8710453140724556,-0.7476694116535798,-0.8750876335140236,-0.9897543155196453,-0.4621497584322077,0.7546993547592344,0.8656786032568814,0.99598496991576,0.8757166582575908,-0.7476804047370096,-0.8758414288537464,-0.9903776077202029,-0.5969728682958558
U5-U1,0.6655391720669999,0.73162046866138,0.8004150984295587,1.0,-0.6312460936579835,-0.7074302890125876,-0.664477858794189,0.7155190122206458,0.6716218605748774,0.7349296821514288,0.7968840402374955,0.9432091261263793,-0.6403835443856549,-0.7137869697195699,-0.706091566025064,0.4145318238956405,0.6686531912060714,0.7326990079133583,0.7902373287499939,0.942229539489458,-0.6451601754039967,-0.7168432531990773,-0.7210442533857747,0.09058426516350611,0.6667275660386661,0.7314715769586925,0.7878819640399075,0.9409994867171115,-0.6465063546445254,-0.7185424035676119,-0.7271643176644147,-0.12994144267022448,0.6651799270239203,0.7307098708858291,0.787728297873742,0.9348858642442583,-0.6476064421307112,-0.7194811929169344,-0.7309458229226423,-0.2936411271217744
U6-U1,-0.9983104350359425,-0.974290981468884,-0.7393029351104682,-0.6312460936579833,0.9999999999999998,0.9742606438040784,0.6735159848533352,-0.44742387662833055,-0.9981447022922684,-0.9731266408727985,-0.7181413305712414,-0.6434154279577734,0.999724180592645,0.973478546927628,0.6905347310830754,-0.2584472680413399,-0.9983747069446285,-0.9739707344220222,-0.7197271823349931,-0.6602400899753136,0.9996053867811471,0.9724018338701773,0.6982530274272956,-0.03601228029383556,-0.9985126277934957,-0.9747293349625593,-0.7219756894013576,-0.6579839280801812,0.9995423548216247,0.9716416040006296,0.7060045012751953,0.15230763696600402,-0.9985850841475227,-0.9754841964549026,-0.7243768381448383,-0.6454860041274441,0.999473223882365,0.9712290426200769,0.710270124023127,0.2805280895791428
U7-U1,-0.9751323373189478,-0.9988250708264658,-0.86836484654583,-0.7074302890125878,0.9742606438040784,1.0,0.819481965570508,-0.43645241876891405,-0.9780190200935263,-0.9987588786611366,-0.853555085382423,-0.7323915044430911,0.975124285507926,0.9998450111490177,0.8338621264781759,-0.1881731931589253,-0.977795450558847,-0.998816880610749,-0.8551689405341725,-0.7514518197073248,0.9759632627188591,0.9997599119587492,0.8398377157051211,0.07966499846631905,-0.9776071779293778,-0.9987295921979591,-0.8570219669993085,-0.7543478142588721,0.9761430953008464,0.9996636983052983,0.8456195351912292,0.28367732965636866,-0.9770804593371196,-0.998539119802511,-0.8587169194713371,-0.747197056041179,0.9760363870184475,0.9995887037629329,0.8485766658307204,0.4186591899568426
U8-U1,-0.6748739192612673,-0.8116753962731096,-0.9713297653185042,-0.664477858794189,0.6735159848533352,0.819481965570508,0.9999999999999998,-0.2277034491889032,-0.6845403738966753,-0.8139535168885643,-0.9750193838094944,-0.7204736923786909,0.675296491954168,0.8204037013234603,0.9956284842636018,0.10145178980143024,-0.6835927935655844,-0.8121876528864912,-0.9775251498232724,-0.7465071744881869,0.6777674305475803,0.8224769582350526,0.9938581493854751,0.40265652806235797,-0.6828150836748786,-0.8099746915257602,-0.9784360331232119,-0.7612547396151363,0.6783100514595156,0.8238569859630529,0.9924083294507686,0.5822364010468548,-0.6809975702875284,-0.8073403232335495,-0.9784957090813868,-0.7731680028743978,0.6778687307202458,0.8244198040286324,0.9910920145405555,0.6894430606741513
U9-U1,0.48631164306594576,0.4688817884188162,0.41328487477703735,0.7155190122206458,-0.44742387662833055,-0.43645241876891405,-0.22770344918890326,1.0,0.4871960786421994,0.4698368390156774,0.40093354533321873,0.6951757011916395,-0.4575519605260349,-0.44392233449324864,-0.279400573599282,0.7680527867143555,0.48448862482758925,0.4674809737643291,0.3906911133977664,0.6759942120846599,-0.4611522724281906,-0.4464667356518938,-0.3016918090389805,0.6073336639237218,0.48216669609205104,0.4663426311951557,0.3847682808598029,0.6538724388101871,-0.46298342003371645,-0.4481314590155368,-0.31375284475395315,0.4297069312989386,0.4807273132348957,0.4656057213871088,0.3850575730453425,0.6314174408456803,-0.46432050515614465,-0.4492592860276746,-0.3226809887195872,0.27797313189153533
U10-U1,0.9997398201766862,0.9803260448784312,0.7593514023815922,0.6716218605748775,-0.9981447022922685,-0.9780190200935261,-0.6845403738966753,0.4871960786421994,1.0,0.9794102693711941,0.7388836264667469,0.6831094370908277,-0.9988925736356554,-0.9778382161468948,-0.7043402040145942,0.2871296913668986,0.9999374878657881,0.9800479531186702,0.7397456455618577,0.6985049005011444,-0.9991585025182443,-0.9770573782196147,-0.7130337907430836,0.05339855136687839,0.9999117377356652,0.9806943311257855,0.7416226841135166,0.6960899095991557,-0.9992361947059916,-0.9764949894351638,-0.7210802528259033,-0.14366015483207256,0.9998695976580954,0.9813643681700318,0.7437965933999315,0.6828732326542338,-0.9992850789000532,-0.9761911983891625,-0.7255166390058012,-0.27842020163970926
U11-U1,0.976450632812133,0.999854348007064,0.8721604031406875,0.734929682151429,-0.9731266408727985,-0.9987588786611366,-0.8139535168885644,0.46983683901567747,0.9794102693711941,0.9999999999999999,0.8576540344611207,0.7587165606714654,-0.9745437743857737,-0.9991362417632562,-0.8309338848313551,0.2169635907614638,0.9790098120587511,0.9999452983475094,0.8586260032271068,0.7762701603781331,-0.9756329781764527,-0.9991945424453273,-0.83780171787586,-0.05680816794845879,0.9787193098455916,0.9998787414042432,0.8602145833628355,0.7785128873340603,-0.975905847408418,-0.9991879173936911,-0.8439095555000291,-0.26700520627874463,0.9781635554729322,0.9997550034658154,0.8618294810224474,0.7705719756913824,-0.9759108753854207,-0.9991606194951382,-0.8470773551272591,-0.4067839669075854
