U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,SOC,SOH,material_capacity,pulse_ms
3.4117,3.4279,3.4289,3.413,3.4121,3.3959,3.3951,3.4109,3.4119,3.4444,3.4461,3.4142,3.4124,3.3801,3.3782,3.41,3.4119,3.4607,3.4632,3.4154,3.4126,3.364,3.3613,3.4089,3.4117,3.4769,3.4802,3.4166,3.413,3.348,3.3445,3.4079,3.4117,3.493,3.4969,3.4177,3.4131,3.332,3.3278,3.407,3.4116,20.0,0.77994,NMC_15Ah,100
3.433,3.4518,3.453,3.4349,3.4337,3.4152,3.414,3.4321,3.4333,3.4707,3.473,3.4365,3.434,3.3968,3.3945,3.4309,3.4333,3.4893,3.4927,3.4381,3.4342,3.3785,3.375,3.4296,3.4333,3.5078,3.5122,3.4393,3.4344,3.3601,3.3554,3.4282,3.4331,3.526,3.5315,3.4405,3.4344,3.3417,3.3359,3.4268,3.4328,20.0,0.7561333333333333,NMC_15Ah,100
3.423,3.4402,3.4409,3.4242,3.4235,3.4063,3.4056,3.4224,3.4233,3.4577,3.459,3.4254,3.4238,3.3896,3.3882,3.4217,3.4231,3.4748,3.4767,3.4263,3.424,3.3726,3.3706,3.421,3.4231,3.4918,3.4944,3.4272,3.4244,3.3557,3.3531,3.4202,3.423,3.5088,3.512,3.4284,3.4247,3.3392,3.3359,3.4193,3.423,20.0,0.77272,NMC_15Ah,100
3.43,3.4491,3.4502,3.4316,3.4305,3.4114,3.4105,3.4291,3.4302,3.4686,3.4704,3.433,3.4309,3.3928,3.3907,3.4281,3.4302,3.4876,3.4904,3.4342,3.431,3.3738,3.3708,3.4268,3.4302,3.5065,3.5102,3.4356,3.4314,3.355,3.351,3.4258,3.43,3.5255,3.5301,3.4368,3.4316,3.3362,3.3313,3.4247,3.43,20.0,0.76966,NMC_15Ah,100
3.4214,3.4388,3.4396,3.4228,3.4221,3.4047,3.404,3.421,3.4217,3.4565,3.4579,3.424,3.4223,3.3879,3.3863,3.4205,3.4219,3.4739,3.476,3.4251,3.4228,3.3708,3.3687,3.4196,3.4219,3.4911,3.4937,3.4263,3.423,3.354,3.3512,3.4186,3.4217,3.5083,3.5116,3.4267,3.423,3.3368,3.3334,3.4177,3.4214,20.0,0.78008,NMC_15Ah,100
3.4196,3.4395,3.4407,3.4212,3.4202,3.4003,3.3991,3.4186,3.4198,3.4598,3.4618,3.4228,3.4205,3.3807,3.3785,3.4177,3.4198,3.4798,3.4828,3.4242,3.4209,3.3612,3.3578,3.4165,3.4198,3.4997,3.5034,3.4258,3.4212,3.3417,3.3376,3.4156,3.4198,3.5195,3.5241,3.4268,3.4214,3.3222,3.3173,3.4142,3.4198,20.0,0.78396,NMC_15Ah,100
3.4258,3.4437,3.4449,3.4272,3.4263,3.4086,3.4075,3.4249,3.4261,3.4619,3.4639,3.4288,3.4267,3.3908,3.3889,3.4237,3.426,3.4798,3.4827,3.43,3.4268,3.3733,3.3701,3.4228,3.4258,3.4974,3.5013,3.4312,3.427,3.3556,3.3517,3.4217,3.4258,3.5153,3.5201,3.4326,3.4274,3.338,3.3331,3.4207,3.4258,20.0,0.7803533333333333,NMC_15Ah,100
3.4261,3.4442,3.4449,3.4275,3.4268,3.4089,3.408,3.4256,3.4265,3.4625,3.4639,3.4288,3.4272,3.3912,3.3898,3.4249,3.4265,3.4806,3.4827,3.4298,3.4275,3.3736,3.3712,3.424,3.4265,3.4985,3.5013,3.4309,3.4277,3.3559,3.3529,3.4231,3.4263,3.5164,3.5197,3.4317,3.4279,3.338,3.3345,3.4223,3.4261,20.0,0.76816,NMC_15Ah,100
3.4314,3.4495,3.4504,3.4326,3.4319,3.4138,3.4131,3.4309,3.4316,3.4679,3.4693,3.4339,3.4323,3.3961,3.3947,3.43,3.4316,3.4862,3.4881,3.4349,3.4326,3.3782,3.3761,3.4293,3.4314,3.5041,3.5067,3.4358,3.4328,3.3603,3.3577,3.4284,3.4314,3.522,3.5253,3.4368,3.433,3.3427,3.3394,3.4279,3.4314,20.0,0.7721333333333333,NMC_15Ah,100
3.42,3.4381,3.4389,3.4214,3.4205,3.4028,3.4019,3.4193,3.4203,3.4565,3.4579,3.4226,3.4209,3.3849,3.3833,3.4186,3.4202,3.4744,3.4767,3.4237,3.421,3.3671,3.3647,3.4177,3.4202,3.4925,3.4953,3.4247,3.4214,3.3494,3.3464,3.4168,3.42,3.5104,3.5139,3.4258,3.4216,3.3318,3.328,3.4159,3.42,20.0,0.7779533333333333,NMC_15Ah,100
3.4182,3.4351,3.4361,3.4196,3.4188,3.4021,3.401,3.4175,3.4186,3.4523,3.4539,3.421,3.4191,3.3856,3.3838,3.4168,3.4186,3.4691,3.4716,3.4221,3.4195,3.3689,3.3664,3.4158,3.4186,3.4858,3.489,3.4235,3.4198,3.3526,3.3491,3.4149,3.4186,3.5025,3.5065,3.4244,3.42,3.3359,3.3317,3.4138,3.4184,20.0,0.8001333333333334,NMC_15Ah,100
3.4254,3.4465,3.4475,3.427,3.4261,3.4052,3.404,3.4247,3.4258,3.4679,3.4698,3.4286,3.4263,3.3843,3.3824,3.4237,3.4258,3.489,3.4916,3.4298,3.4267,3.3636,3.3608,3.4226,3.4256,3.51,3.5134,3.431,3.427,3.3429,3.3389,3.4217,3.4256,3.5309,3.535,3.4323,3.4272,3.3225,3.3178,3.4207,3.4256,20.0,0.7795333333333333,NMC_15Ah,100
3.4184,3.4363,3.4372,3.4198,3.4189,3.4014,3.4003,3.4177,3.4186,3.4542,3.4558,3.421,3.4191,3.3836,3.3819,3.4168,3.4186,3.4721,3.4744,3.4221,3.4195,3.3661,3.3638,3.4159,3.4186,3.4897,3.4927,3.423,3.4196,3.3487,3.3454,3.4151,3.4184,3.5072,3.5111,3.4242,3.4198,3.3313,3.3273,3.4142,3.4184,20.0,0.7849733333333333,NMC_15Ah,100
3.4177,3.4342,3.4351,3.4189,3.4181,3.4017,3.4007,3.417,3.4179,3.4511,3.4526,3.4202,3.4184,3.3854,3.3836,3.4159,3.4177,3.4674,3.4697,3.4212,3.4186,3.3689,3.3666,3.4151,3.4177,3.4839,3.4869,3.4221,3.4189,3.3526,3.3494,3.4142,3.4175,3.5002,3.5039,3.4233,3.4189,3.3364,3.3324,3.4133,3.4175,20.0,0.7764399999999999,NMC_15Ah,100
3.4188,3.4363,3.4372,3.4202,3.4193,3.4022,3.401,3.4181,3.4191,3.4542,3.4558,3.4216,3.4196,3.3849,3.3831,3.4172,3.4191,3.4716,3.4742,3.4228,3.42,3.3677,3.365,3.4163,3.4189,3.489,3.4923,3.424,3.4202,3.3506,3.3469,3.4152,3.4189,3.5064,3.5102,3.4251,3.4205,3.3334,3.3292,3.4144,3.4189,20.0,0.79182,NMC_15Ah,100
3.4156,3.4326,3.4335,3.417,3.4161,3.3993,3.3982,3.4149,3.4158,3.45,3.4518,3.4184,3.4165,3.3824,3.3807,3.414,3.4158,3.4672,3.4695,3.4195,3.4168,3.3656,3.3631,3.4131,3.4158,3.4841,3.4872,3.4205,3.4168,3.3489,3.3454,3.4121,3.4156,3.5011,3.5048,3.4217,3.4172,3.3322,3.328,3.4112,3.4156,20.0,0.7905599999999999,NMC_15Ah,100
3.4207,3.4375,3.4384,3.4219,3.4214,3.4047,3.4038,3.4202,3.421,3.4546,3.456,3.4231,3.4217,3.3882,3.3868,3.4196,3.421,3.4714,3.4735,3.4242,3.4219,3.3717,3.3696,3.4186,3.421,3.4881,3.4907,3.4252,3.4221,3.355,3.3524,3.4179,3.4209,3.5046,3.5078,3.4263,3.4223,3.3389,3.3355,3.417,3.4207,20.0,0.7750533333333334,NMC_15Ah,100
