U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,SOC,SOH,material_capacity,pulse_ms
3.2818,3.3076,3.3097,3.286,3.2841,3.2588,3.2569,3.2806,3.2832,3.3338,3.3376,3.2902,3.2853,3.2346,3.2309,3.2785,3.283,3.3592,3.3649,3.2939,3.2862,3.2102,3.2047,3.2755,3.2827,3.3838,3.3912,3.2969,3.2869,3.1861,3.1789,3.2729,3.2822,3.4084,3.4177,3.2997,3.2876,3.1624,3.1533,3.2697,3.2815,20.0,0.8486632352941177,LFP_68Ah,100
3.2832,3.3074,3.3092,3.2867,3.2848,3.2607,3.259,3.2815,3.2839,3.332,3.3354,3.2906,3.2857,3.2376,3.2342,3.2794,3.2836,3.3559,3.361,3.2939,3.2869,3.2146,3.2097,3.2769,3.2834,3.3796,3.3866,3.2969,3.2874,3.1913,3.1847,3.274,3.283,3.4033,3.4119,3.299,3.2878,3.1677,3.1594,3.2711,3.2822,20.0,0.7336926470588235,LFP_68Ah,100
3.2846,3.3099,3.3117,3.2885,3.2867,3.262,3.2604,3.2836,3.2859,3.3357,3.3389,3.292,3.2878,3.2381,3.2348,3.2813,3.2857,3.3603,3.3652,3.2957,3.2887,3.2139,3.2091,3.2792,3.2855,3.3849,3.3914,3.2987,3.2892,3.1898,3.1833,3.2765,3.2852,3.4094,3.4175,3.3008,3.2899,3.1658,3.1577,3.2743,3.2846,20.0,0.7100794117647059,LFP_68Ah,100
3.2818,3.3046,3.3062,3.2853,3.2836,3.2613,3.2597,3.2806,3.2827,3.3276,3.3306,3.2885,3.2846,3.2399,3.2369,3.2788,3.2827,3.3499,3.3543,3.2911,3.2853,3.2183,3.2139,3.2764,3.2822,3.3719,3.3777,3.2941,3.286,3.1967,3.1907,3.2746,3.282,3.3938,3.4012,3.2969,3.2867,3.1751,3.1679,3.2722,3.2815,20.0,0.8467470588235294,LFP_68Ah,100
3.2809,3.311,3.3131,3.2853,3.2834,3.2541,3.2519,3.2799,3.2827,3.3419,3.3459,3.2899,3.2848,3.2258,3.2218,3.2771,3.2825,3.371,3.3771,3.2929,3.2852,3.1974,3.1913,3.2736,3.282,3.3996,3.4075,3.2967,3.2862,3.17,3.1621,3.2716,3.2815,3.4277,3.4377,3.3006,3.2869,3.1427,3.1331,3.2704,3.282,20.0,0.8436882352941177,LFP_68Ah,100
3.2818,3.3069,3.3087,3.2855,3.2839,3.2592,3.2574,3.2806,3.2829,3.3326,3.3359,3.2897,3.285,3.2355,3.2321,3.2781,3.2827,3.3571,3.3622,3.2925,3.2857,3.2118,3.2067,3.2758,3.2825,3.3812,3.388,3.2953,3.2862,3.1881,3.1814,3.273,3.2818,3.4051,3.4135,3.2976,3.2867,3.1644,3.1561,3.2706,3.2813,20.0,0.8420808823529411,LFP_68Ah,100
3.2813,3.3059,3.3074,3.2846,3.2829,3.2586,3.2571,3.2799,3.282,3.3306,3.3338,3.2878,3.2837,3.2351,3.2321,3.2774,3.2816,3.3547,3.3592,3.2906,3.2844,3.2115,3.207,3.2757,3.2813,3.3785,3.3847,3.2932,3.285,3.1881,3.1821,3.2732,3.2809,3.4022,3.4098,3.295,3.2855,3.1645,3.157,3.2706,3.2804,20.0,0.8447191176470588,LFP_68Ah,100
3.2825,3.3073,3.309,3.2864,3.2848,3.2607,3.259,3.2816,3.2839,3.3326,3.3359,3.2906,3.286,3.2376,3.2344,3.2797,3.2839,3.3568,3.3617,3.2946,3.2869,3.2144,3.2094,3.2776,3.2837,3.3805,3.3872,3.2976,3.2878,3.1913,3.1847,3.2753,3.2836,3.4044,3.4126,3.3004,3.2885,3.1684,3.16,3.2706,3.2829,20.0,0.8263294117647059,LFP_68Ah,100
3.2804,3.3066,3.3083,3.2841,3.2825,3.2569,3.2553,3.2794,3.2818,3.3334,3.3368,3.2883,3.2837,3.2325,3.2291,3.2774,3.2816,3.3589,3.364,3.2911,3.2846,3.2077,3.2026,3.2743,3.2813,3.3842,3.3908,3.2943,3.2853,3.1831,3.1765,3.2727,3.2811,3.4094,3.4177,3.2971,3.2859,3.1584,3.1503,3.2698,3.2806,20.0,0.8475764705882353,LFP_68Ah,100
3.2818,3.3073,3.309,3.2855,3.2837,3.2586,3.2571,3.2808,3.2829,3.3336,3.3366,3.2892,3.285,3.2346,3.2314,3.2788,3.2829,3.3585,3.3633,3.2922,3.2857,3.2102,3.2054,3.2759,3.2825,3.3833,3.3898,3.295,3.2862,3.1861,3.1796,3.274,3.2822,3.4079,3.4161,3.298,3.2869,3.1619,3.1538,3.2719,3.2818,20.0,0.8305264705882353,LFP_68Ah,100
