U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,SOC,SOH,material_capacity,pulse_ms
3.4577,3.4821,3.4844,3.4616,3.4588,3.4346,3.4321,3.4553,3.4583,3.5067,3.5111,3.4651,3.4593,3.4107,3.4059,3.4523,3.4581,3.5308,3.5371,3.4686,3.4598,3.3868,3.3796,3.4491,3.4579,3.5546,3.5631,3.4718,3.4602,3.3629,3.3534,3.4461,3.4577,3.5782,3.5882,3.4749,3.4605,3.3392,3.3271,3.4426,3.4574,20.0,0.7822208333333333,LMO_24Ah,100
3.4611,3.4821,3.4839,3.4639,3.4618,3.4409,3.4391,3.4593,3.4612,3.5034,3.5065,3.4665,3.4623,3.4203,3.417,3.457,3.4611,3.5241,3.5288,3.4688,3.4626,3.3996,3.3945,3.4549,3.4609,3.545,3.5511,3.4712,3.463,3.3787,3.3719,3.4521,3.4605,3.5657,3.5731,3.4718,3.4626,3.3571,3.3487,3.4493,3.4598,20.0,0.769775,LMO_24Ah,100
3.4175,3.4374,3.4391,3.4205,3.4186,3.3989,3.3972,3.4158,3.4181,3.4572,3.4607,3.4235,3.4191,3.3798,3.3761,3.4137,3.4179,3.4769,3.4818,3.4263,3.4196,3.3603,3.3552,3.4112,3.4177,3.4962,3.5027,3.4286,3.42,3.3412,3.3341,3.4091,3.4177,3.5157,3.5234,3.4312,3.4203,3.3218,3.3131,3.4063,3.4173,20.0,0.8261375000000001,LMO_24Ah,100
3.4653,3.4906,3.4932,3.4693,3.4665,3.4414,3.4388,3.4628,3.466,3.5162,3.5211,3.4735,3.4672,3.4168,3.4116,3.4597,3.466,3.5413,3.5481,3.477,3.4677,3.3919,3.3842,3.4563,3.4658,3.5659,3.5748,3.4809,3.4683,3.3673,3.3568,3.4528,3.4658,3.5903,3.6013,3.4844,3.4686,3.3427,3.3294,3.4495,3.4656,20.0,0.7983583333333333,LMO_24Ah,100
3.4333,3.4518,3.4532,3.4361,3.4344,3.4163,3.4147,3.4319,3.434,3.4704,3.4734,3.4388,3.4351,3.3986,3.3954,3.4298,3.4339,3.4883,3.4927,3.4414,3.4354,3.3808,3.3761,3.4279,3.4337,3.5065,3.5122,3.4437,3.4358,3.3629,3.3568,3.4258,3.4335,3.5243,3.5315,3.4458,3.4361,3.345,3.3371,3.4235,3.4333,20.0,0.8073875,LMO_24Ah,100
3.4375,3.4563,3.4579,3.4402,3.4386,3.42,3.4184,3.4361,3.4381,3.4755,3.4783,3.443,3.4391,3.4019,3.3989,3.4342,3.4381,3.4939,3.4983,3.4454,3.4396,3.3836,3.3791,3.4324,3.4381,3.5125,3.5181,3.4477,3.44,3.3652,3.3592,3.4302,3.4377,3.5309,3.5376,3.4502,3.4405,3.3469,3.3394,3.4279,3.4375,20.0,0.8003291666666666,LMO_24Ah,100
3.4827,3.5102,3.5132,3.4874,3.4837,3.4563,3.453,3.479,3.483,3.5376,3.5436,3.4918,3.4841,3.4293,3.4228,3.4751,3.4828,3.5645,3.5732,3.496,3.4846,3.4022,3.3924,3.4707,3.4825,3.5913,3.6024,3.5002,3.4848,3.3752,3.3622,3.4665,3.4823,3.6177,3.631,3.505,3.4853,3.3485,3.332,3.4623,3.4823,20.0,0.7896583333333332,LMO_24Ah,100
3.4298,3.4516,3.4537,3.4333,3.4312,3.4096,3.4077,3.4281,3.4307,3.4737,3.4774,3.4367,3.4317,3.3887,3.3847,3.4256,3.4307,3.4951,3.5006,3.4395,3.4323,3.3675,3.3615,3.4228,3.4303,3.5162,3.5234,3.4421,3.4326,3.3464,3.3383,3.42,3.43,3.5371,3.546,3.4451,3.4328,3.3252,3.3152,3.4175,3.4298,20.0,0.8251083333333334,LMO_24Ah,100
3.4395,3.4611,3.463,3.4428,3.4407,3.4195,3.4175,3.4379,3.4403,3.483,3.4865,3.446,3.4414,3.3986,3.3949,3.4356,3.4403,3.5043,3.5095,3.4488,3.4419,3.3777,3.3721,3.4331,3.4402,3.5253,3.532,3.4516,3.4423,3.3566,3.3492,3.4307,3.44,3.5462,3.5548,3.4546,3.4428,3.3359,3.3262,3.4286,3.44,20.0,0.8041916666666666,LMO_24Ah,100
3.5548,3.5708,3.5736,3.5583,3.5555,3.5394,3.5364,3.552,3.5552,3.5873,3.5924,3.5618,3.5559,3.5234,3.5176,3.5488,3.5552,3.6033,3.6106,3.5645,3.5562,3.5072,3.4986,3.5457,3.555,3.6191,3.6284,3.5673,3.5564,3.4909,3.4793,3.5422,3.5548,3.6349,3.6459,3.5703,3.5566,3.4748,3.4602,3.5388,3.5548,20.0,1.092525,LMO_24Ah,100
