soh_bin,LFP_35Ah,LFP_68Ah,LMO_10Ah,LMO_24Ah,LMO_25Ah,LMO_26Ah,NMC_15Ah,NMC_21Ah
"(96.274, 101.116]",,,,,,3.8281172603513625,,0.7086831459337688
"(91.432, 96.274]",,,2.3761816990513296,,7.219865755183328,5.149700509807637,,
"(86.59, 91.432]",2.6302640902448005,2.911152408373887,0.8609823983995284,,6.481011850497339,5.371641385589996,,
"(81.747, 86.59]",2.8681312569138484,0.8874574152920545,7.912537155439033,0.9485535594738153,1.9621016537935319,6.024372987125659,,1.7958851280796537
"(76.905, 81.747]",8.873007666199562,3.4955970211727134,10.4193710090941,1.4829057689929641,3.265962796919034,10.84477776678606,1.2959272072523689,6.8949978193974815
"(72.063, 76.905]",,9.302127690505195,,3.2394820487847085,,,1.73316198316882,
"(67.221, 72.063]",,13.232874495181818,4.222909542599318,8.781079022231026,3.995033155666576,,,
"(62.379, 67.221]",,,1.8469333777362493,,,,,
"(57.537, 62.379]",,,1.4844526509144131,,12.413456114602845,,,
"(52.646, 57.537]",,,2.138792557473195,,8.565158559029157,,,
