bin,left,right,mid,label,count,medae,mae,q25_ae,q75_ae,medae_ci_lo,medae_ci_hi
"(49.999, 55.0]",49.999,55.0,52.4995,50.0-55.0,10,8.565158559029157,8.369662534044647,7.766404007672573,8.837288986345046,7.665481661935594,9.093473755129551
"(55.0, 60.0]",55.0,60.0,57.5,55.0-60.0,10,2.138792557473195,2.199593491319326,1.5610207763752229,2.717194221806551,1.4406416157585653,2.954743047638633
"(60.0, 65.0]",60.0,65.0,62.5,60.0-65.0,30,2.4281556035453633,5.112048628079462,1.4172097696780064,9.857370024364275,1.649291702308922,3.917387398646415
"(65.0, 70.0]",65.0,70.0,67.5,65.0-70.0,30,4.491118061396826,6.209110902102653,2.3856324772337842,9.535798348063327,2.780582214480275,8.545086090204023
"(70.0, 75.0]",70.0,75.0,72.5,70.0-75.0,70,8.781079022231026,8.617822506269654,4.589113916499464,13.078654535608266,6.467777820321956,12.086028532123649
"(75.0, 80.0]",75.0,80.0,77.5,75.0-80.0,320,2.523580384056153,4.230157651940585,1.452908054216934,5.793343577286208,2.233329430290709,2.8604009579902865
"(80.0, 85.0]",80.0,85.0,82.5,80.0-85.0,290,2.054566564127306,3.9692625423657977,0.9002985194356192,5.779317353625782,1.737410216736862,2.4087929786600455
"(85.0, 90.0]",85.0,90.0,87.5,85.0-90.0,280,1.4341802532926735,2.758021268985059,0.6693900684422331,3.468443379550802,1.2434868982541758,1.6419318392338909
"(90.0, 95.0]",90.0,95.0,92.5,90.0-95.0,100,2.3272870129037884,3.735238088746517,0.9941584337834684,3.259653648329863,1.9145786316719722,2.556194549048662
"(95.0, 100.0]",95.0,100.0,97.5,95.0-100.0,90,1.3936356306978865,3.0490194392498817,0.6278351662605672,5.82977740741989,0.9217696088859952,2.550440651069048
"(100.0, 105.0]",100.0,105.0,102.5,100.0-105.0,50,1.3009251662978585,3.463677364255708,0.43280693708851103,1.8446348730986664,0.9345437167893564,1.5036615599424437
