stage,epoch,train_loss,train_cls_acc,train_soc_rmse,train_soc_mae,train_soc_mape,train_soh_rmse,train_soh_mae,train_soh_mape,test_loss,test_cls_acc,test_soc_rmse,test_soc_mae,test_soc_mape,test_soh_rmse,test_soh_mae,test_soh_mape,test_soc_rmse_raw,test_soc_mae_raw,test_soc_mape_raw,test_soh_rmse_raw,test_soh_mae_raw,test_soh_mape_raw,test_score,best_score_so_far
finetune,0,-2.031612589139763,0.963054414852178,0.19052234485576822,0.11457052534690065,225.46660604175818,0.36589947304877113,0.24358280741926058,865.8614127067412,2.996829617023468,0.85703125,0.39925885193996086,0.22539624603959965,102.0934433903547,0.6957570263722339,0.4694413248376804,551.916015630096,8.884232656575842,5.015474749043887,12.280142717900166,0.07411516716733416,0.05000700092390388,6.146420008579405,0.7475296621687806,0.7475296621687806
finetune,1,-2.0490279332842802,0.9621169107258395,0.19186133023805754,0.11583857489172916,225.61506586722393,0.363301606033375,0.2422183613085993,863.4806951809458,3.1534326791763307,0.86875,0.40780471157318754,0.22864618806743237,90.62990502097847,0.6641382861856444,0.45467959658708423,930.1952099517266,9.07439345607313,5.087791841264037,12.104723055598091,0.07074699692511381,0.048434515346474846,6.048460773095657,0.7615557002241168,0.7615557002241168
finetune,2,-2.0175940037378126,0.9580499914172157,0.19702849497877875,0.11950211030113055,230.07172829541608,0.3685863885258344,0.24280187191058977,871.2145307447381,3.450517451763153,0.82578125,0.40726613579867377,0.2337871409508807,102.75439346111031,0.6577474025387268,0.44157845119334527,800.9349550467729,9.062409232819247,5.202187361056976,12.51278383822453,0.07006621105392963,0.04703892233055137,5.783185023205082,0.71927989616626,0.7615557002241168
finetune,3,-2.1234689925679118,0.963146844836465,0.191409185399029,0.11486103392658298,223.32678913011927,0.34992924986197593,0.23110365564872193,864.6615550738865,3.3162193775177,0.83125,0.43919432916307816,0.24599812007018046,102.3477811273216,0.6689590473412611,0.43669905141650817,924.8133455663757,9.772869382719884,5.47390377046023,12.934329581045512,0.07126052604497382,0.04651914682000842,5.739480430031023,0.7204346623495661,0.7615557002241168
finetune,4,-2.097892417654352,0.9631996619703431,0.1886870342639877,0.11432483224973637,224.40376933003617,0.3564091009427717,0.23305360478179607,853.377713900778,3.892727565765381,0.84375,0.4114032317006534,0.23189879452938839,111.98825580053804,0.7337682368732729,0.47645952333332386,402.69677418899414,9.154467140230654,5.160168239331745,12.472996589806037,0.0781642921408406,0.05075461099244642,6.387687193194505,0.7292328531426073,0.7615557002241168
finetune,5,-2.1711197314654584,0.9638334675768819,0.1872112839118624,0.11327678688510794,224.31518599604496,0.34783025409278406,0.23034984440889275,855.510853984397,3.3019278407096864,0.86640625,0.39702099179340217,0.21917114866664633,98.48628579632688,0.6248575454069561,0.4157357552285248,455.4229154614243,8.834436279932044,4.876955067195694,11.54322506022033,0.0665626357687535,0.044286042255584614,5.514895098722313,0.7642183962799642,0.7642183962799642
finetune,6,-2.1859664869958877,0.964638928868525,0.1860168224543796,0.112859611774796,220.06658431622,0.3488838331354547,0.22863991250053492,845.9976950266392,3.784045600891113,0.83828125,0.415354053932209,0.24180843095164165,102.58025538212571,0.6994443591941825,0.4645869329099696,562.3615419272485,9.242380093419388,5.380675602233166,13.079925941950599,0.07450795857983418,0.04948988935284885,6.186670587093944,0.7268014086873609,0.7642183962799642
finetune,7,-2.3013594354731994,0.966936474192228,0.1873793282377223,0.11169755491319491,218.62572246215223,0.3367901882993869,0.22150296805612146,887.5893539674112,4.284231400489807,0.81015625,0.45386484123260235,0.2638492021315869,131.40323892782396,0.6880402263793954,0.45641545379839954,777.8476822189305,10.099314866618307,5.871122685212755,14.911971544518856,0.07329313895444393,0.04861942662584771,6.07415528100008,0.6959657432388002,0.7642183962799642
finetune,8,-2.162011519846326,0.9637278333091255,0.1895710733428596,0.1139355733377371,221.16572620132055,0.3452271010509546,0.22778341976074795,848.4670296881869,3.4482681155204773,0.8578125,0.3983012080296638,0.22257204579918835,95.03531983005963,0.689484981732873,0.45075390964229883,431.5088226462823,8.862923340082233,4.9526311767564035,12.314683069070313,0.07344704084621416,0.04801633348248554,5.983554350404931,0.7490338810237462,0.7642183962799642
finetune,9,-2.1711391783156655,0.963146844836465,0.19178970388100425,0.11613446174822165,227.0570769966329,0.3474580832670795,0.2265150341150981,832.2324113616155,3.7415169954299925,0.8328125,0.4236347874273656,0.2428746630836031,104.11129117339483,0.652172431268925,0.44006276438631176,702.9566816362591,9.426641455226758,5.404401203112082,13.207010990715498,0.06947234005885487,0.046877464553332235,5.819325441735736,0.7252317781303709,0.7642183962799642
