config,c_rate_indices,c_rates,num_c_rates,n_test,test_cls_acc,test_material_acc,test_soc_mae_raw,test_soc_rmse_raw,test_soc_mape_raw,test_soc_medape_raw,test_soh_mae_raw,test_soh_rmse_raw,test_soh_mape_raw,test_soh_medape_raw,test_soc_medae_raw,test_soh_medae_raw,n_mc_soc,n_mc_soh,checkpoint_path,reference_source,mat_capacity_acc_pct,material_acc_pct,soc_medape_pct,soh_medape_pct,soc_medae_pct,soh_medae_pct,mat_acc_change_pp_vs_all,soc_medape_change_pp_vs_all,soh_medape_change_pp_vs_all,soc_medae_change_pp_vs_all,soh_medae_change_pp_vs_all,relative_input_length_pct
C1_0p5C,1,0.5C,1,1280.0,0.821875,0.940625,5.952755263301325,10.15351921428603,14.533452694090238,6.992440265587999,5.241138691114116,7.984407120511191,6.400194543491863,3.489800408614259,3.072638725546284,2.8908793034767086,500.0,500.0,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/c_rate/C1_0p5C/checkpoints/finetune/best.pt,,82.1875,94.0625,6.992440265587999,3.489800408614259,3.072638725546284,2.8908793034767086,-9.687499999999993,2.4899218137803407,0.8745646802069591,,,20.0
C2_1p5C,3,1.5C,1,1280.0,0.8734375,0.940625,4.731296883146858,8.525200294817104,11.28567996406766,6.2345320284926835,3.97780668787923,5.874900279945268,4.956640412961506,2.7137308551008053,2.5555880443464147,2.213073845315705,500.0,500.0,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/c_rate/C2_1p5C/checkpoints/finetune/best.pt,,87.34375,94.0625,6.2345320284926835,2.7137308551008053,2.5555880443464147,2.213073845315705,-4.531249999999998,1.7320135766850253,0.09849512669350524,,,20.0
C3_2p5C,5,2.5C,1,1280.0,0.9,0.95859375,5.190532705711966,9.124458365121443,13.107641354873675,6.696069545538775,4.20068597129783,6.505476261504771,5.285502370322783,2.6278534362751396,2.71527056038412,2.141534905341125,500.0,500.0,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/c_rate/C3_2p5C/checkpoints/finetune/best.pt,,90.0,95.859375,6.696069545538775,2.6278534362751396,2.71527056038412,2.141534905341125,-1.8749999999999933,2.1935510937311165,0.012617707867839556,,,20.0
C4_0p5_1p0C,"1,2","0.5C,1.0C",2,1280.0,0.8625,0.925,4.89173548925965,8.847795004853202,11.143972849665191,6.685266193481993,4.518688221946286,6.731430051216151,5.5236574343616915,2.9464802710842903,2.654127234816883,2.401048375531012,500.0,500.0,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/c_rate/C4_0p5_1p0C/checkpoints/stage2_soh/best.pt,,86.25,92.5,6.685266193481993,2.9464802710842903,2.654127234816883,2.401048375531012,-5.624999999999991,2.1827477416743344,0.33124454267699033,,,40.0
C5_1p5_2p0C,"3,4","1.5C,2.0C",2,1280.0,0.89453125,0.9546875,4.776943311178139,8.808735273873616,11.224094309052424,6.001528214782719,3.9635515499997425,6.273345216494639,4.972872363786716,2.504827124432587,2.510836151330764,2.034441387298777,500.0,500.0,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/c_rate/C5_1p5_2p0C/checkpoints/stage2_soh/best.pt,,89.453125,95.46875,6.001528214782719,2.504827124432587,2.510836151330764,2.034441387298777,-2.4218749999999956,1.499009762975061,-0.11040860397471297,,,40.0
C6_2p0_2p5C,"4,5","2.0C,2.5C",2,1280.0,0.88203125,0.9640625,5.557025401202869,9.386216702021068,13.975666870796655,6.939981471447666,4.064067971428789,6.378514500251036,4.984754214460747,2.5331573142790544,3.206237062691919,2.1262758102750468,500.0,500.0,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/c_rate/C6_2p0_2p5C/checkpoints/finetune/best.pt,,88.203125,96.40625,6.939981471447666,2.5331573142790544,3.206237062691919,2.1262758102750468,-3.671874999999991,2.437463019640008,-0.08207841412824557,,,40.0
C7_0p5_2p5C,"1,5","0.5C,2.5C",2,1280.0,0.8875,0.94921875,4.492544145621658,8.399531193508173,10.852806723463601,6.048155882725603,4.310284207433293,6.672977107635025,5.353721393274006,2.8151010322668877,2.331879316214014,2.309674339248204,500.0,500.0,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/c_rate/C7_0p5_2p5C/checkpoints/finetune/best.pt,,88.75,94.921875,6.048155882725603,2.8151010322668877,2.331879316214014,2.309674339248204,-3.125,1.545637430917945,0.19986530385958767,,,40.0
C8_0p5_1p0_1p5C,"1,2,3","0.5C,1.0C,1.5C",3,1280.0,0.88125,0.93046875,5.355315335883228,9.340615741683775,12.686245050435044,6.851161006420756,4.681567965158094,7.184990755755373,5.75222411768626,3.0100950621189364,2.789387953070488,2.4603526559751288,500.0,500.0,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/c_rate/C8_0p5_1p0_1p5C/checkpoints/finetune/best.pt,,88.125,93.046875,6.851161006420756,3.0100950621189364,2.789387953070488,2.4603526559751288,-3.749999999999998,2.3486425546130976,0.3948593337116364,,,60.0
C9_0p5_1p5_2p5C,"1,3,5","0.5C,1.5C,2.5C",3,1280.0,0.90546875,0.96328125,4.463226673616878,8.315388295304865,11.247675173193192,6.121174039162454,4.394382699111968,6.797764048667205,5.488935342425147,2.8239244697703607,2.299796985738922,2.387289047604213,500.0,500.0,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/c_rate/C9_0p5_1p5_2p5C/checkpoints/finetune/best.pt,,90.546875,96.328125,6.121174039162454,2.8239244697703607,2.299796985738922,2.387289047604213,-1.3281249999999911,1.6186555873547954,0.2086887413630607,,,60.0
C10_1p5_2p0_2p5C,"3,4,5","1.5C,2.0C,2.5C",3,1280.0,0.89765625,0.95390625,4.523831171502422,8.492643088533733,10.668559726023148,5.640662682584575,4.054198980889498,6.038474045203942,5.070622185095506,2.7814830295140216,2.2539261440989833,2.334757671924592,500.0,500.0,/scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/measurement_sensitivity/c_rate/C10_1p5_2p0_2p5C/checkpoints/finetune/best.pt,,89.765625,95.390625,5.640662682584575,2.7814830295140216,2.2539261440989833,2.334757671924592,-2.109374999999991,1.1381442307769172,0.1662473011067216,,,60.0
