File_Name,Mat,No.,ID,Qn,Q,SOH,Pt,SOC,SOCR,source_file,source_dir,label,sheet,pulse_width_ms,pulse_ms
LMO_C_10_B_10_SOC_5-55_Part_1-1_ID_PIP15827A00220999.xlsx,LMO,10,PIP15827A00220999,10,6.0549,0.60549,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_11_SOC_5-60_Part_1-1_ID_PIP15826A00208751.xlsx,LMO,11,PIP15826A00208751,10,6.3985,0.63985,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_12_SOC_5-60_Part_1-1_ID_PIP15829A00218444.xlsx,LMO,12,PIP15829A00218444,10,6.4536,0.6453599999999999,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_13_SOC_5-60_Part_1-1_ID_PIP15827A00205589.xlsx,LMO,13,PIP15827A00205589,10,6.3319,0.63319,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_14_SOC_5-60_Part_1-1_ID_PIP15829A00218550.xlsx,LMO,14,PIP15829A00218550,10,5.5447,0.55447,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_15_SOC_5-60_Part_1-1_ID_PIP15828A06100365.xlsx,LMO,15,PIP15828A06100365,10,6.5591,0.65591,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_16_SOC_5-60_Part_1-1_ID_PIP15829A00217239.xlsx,LMO,16,PIP15829A00217239,10,6.5152,0.65152,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_17_SOC_5-65_Part_1-1_ID_PIP15829A06101445.xlsx,LMO,17,PIP15829A06101445,10,6.9576,0.69576,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_18_SOC_5-65_Part_1-1_ID_PIP15826A00211185.xlsx,LMO,18,PIP15826A00211185,10,6.6538,0.6653800000000001,0.03,5,0.05001,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_19_SOC_5-65_Part_1-1_ID_PIP15D01A03235252.xlsx,LMO,19,PIP15D01A03235252,10,6.9119,0.69119,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_1_SOC_5-55_Part_1-1_ID_PIP15828A00225770.xlsx,LMO,1,PIP15828A00225770,10,5.6791,0.56791,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_20_SOC_5-65_Part_1-1_ID_PIP15827A00205450.xlsx,LMO,20,PIP15827A00205450,10,6.9997,0.69997,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_21_SOC_5-65_Part_1-1_ID_PIP15829A00209415.xlsx,LMO,21,PIP15829A00209415,10,6.7829,0.67829,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_22_SOC_5-65_Part_1-1_ID_PIP15D01A03238995.xlsx,LMO,22,PIP15D01A03238995,10,6.7698,0.67698,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_23_SOC_5-65_Part_1-1_ID_PIP15829A00210663.xlsx,LMO,23,PIP15829A00210663,10,6.9477,0.69477,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_24_SOC_5-65_Part_1-1_ID_PIP15829A00206931.xlsx,LMO,24,PIP15829A00206931,10,6.853,0.6853,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_25_SOC_5-65_Part_1-1_ID_PIP15825A00103075.xlsx,LMO,25,PIP15825A00103075,10,6.6769,0.66769,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_26_SOC_5-70_Part_1-1_ID_PIP15D29A03204639.xlsx,LMO,26,PIP15D29A03204639,10,7.9655,0.79655,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_27_SOC_5-70_Part_1-1_ID_PIP15D26A03261343.xlsx,LMO,27,PIP15D26A03261343,10,7.1776,0.71776,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_28_SOC_5-70_Part_1-1_ID_PIP15825A50203005.xlsx,LMO,28,PIP15825A50203005,10,7.6227,0.76227,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_29_SOC_5-70_Part_1-1_ID_PIP15825A00103143.xlsx,LMO,29,PIP15825A00103143,10,7.2993,0.72993,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_2_SOC_5-55_Part_1-1_ID_PIP15827A00221240.xlsx,LMO,2,PIP15827A00221240,10,6.0513,0.6051300000000001,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_30_SOC_5-70_Part_1-1_ID_PIP15D19A03280145.xlsx,LMO,30,PIP15D19A03280145,10,7.5565,0.7556499999999999,0.03,5,0.05001,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_31_SOC_5-75_Part_1-1_ID_PIP15D01A03241499.xlsx,LMO,31,PIP15D01A03241499,10,8.0253,0.80253,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_32_SOC_5-75_Part_1-1_ID_PIP15710A00246135.xlsx,LMO,32,PIP15710A00246135,10,8.0443,0.80443,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_33_SOC_5-80_Part_1-1_ID_PIP15N21A50200177.xlsx,LMO,33,PIP15N21A50200177,10,8.7844,0.87844,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_34_SOC_5-80_Part_1-1_ID_PIP15N21A03201737.xlsx,LMO,34,PIP15N21A03201737,10,8.5736,0.8573600000000001,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
